"DOI","Link","Abstract","EID"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751522610&partnerID=40&md5=849ffd3cfeeaac36b5746fec4d45d00a","[No abstract available]","2-s2.0-78751522610"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857779061&partnerID=40&md5=2c18e343a5061d47edff70e21777c332","[No abstract available]","2-s2.0-84857779061"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649318213&partnerID=40&md5=db33c12eb83ff4ea0ba65e14b4b921eb","[No abstract available]","2-s2.0-78649318213"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749527556&partnerID=40&md5=76395e0ee87783bf6115d9a118cbb989","[No abstract available]","2-s2.0-33749527556"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882348578&partnerID=40&md5=1d844bd9e8621a000441be4075d65834","[No abstract available]","2-s2.0-84882348578"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038016488&partnerID=40&md5=0a10fafcc692da106e606718d4984406","[No abstract available]","2-s2.0-0038016488"
