AIKeywords	CorrectedAIKeywords	CorAIKeywordsAcronym
"2,4,6-TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
"2,4,6-TRINITROTOULENE"	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
2.4.6-TNT	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
EXPLOSIVES. TNT	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
TNT	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
"TNT (2 ,4 ,6TRINITROTOLUENE)"	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
"TNT (2,4,6-TRINITROTOLUENE)"	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
TRINITROTOLUENE	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
TRINITROTOLUENE (TNT)	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
TRINITROTOLUENES	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
"3,4 METHYLENEDIOXYETHYLAMPHETAMINE"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4- METHYLENEDIOXYMETHAMPHETAMINE"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"(3,4-METHYLENEDIOXYMETHAMPHETAMINE) MDMA"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-(METHYLENEDIOXY)METHYLAMPHETAMINE"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETAMPHETAMINE"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETHAMPHET AMINE"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETHAMPHETAMINE"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXYMETHAMPHETAMINE (3,4-MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENEDIOXY-METHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
"3,4-METHYLENE-DIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
4-METHYLENEDIOXYMETHAMPHETAMINE	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
MDMA	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
METHYLENEDIOXAMPHETAMINE	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
METHYLENEDIOXYAMPHETAMINE	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
METHYLENEDIOXYAMPHETAMINES	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"	"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)"
ABLATION OF ORGANIC MATERIALS	ABLATION	ABLATION
ACCIDENTS	ACCIDENT	ACCIDENT
"ACCIDENTS, AVIATION"	ACCIDENT	ACCIDENT
"ACCIDENTS, OCCUPATIONAL"	ACCIDENT	ACCIDENT
"ACCIDENTS, TRAFFIC"	ACCIDENT	ACCIDENT
COLLISION	ACCIDENT	ACCIDENT
CRASH	ACCIDENT	ACCIDENT
CRASHES	ACCIDENT	ACCIDENT
ACCIDENT PREVENTION - LEGISLATION	ACCIDENT PREVENTION	ACCIDENT PREVENTION
ACCIDENT PREVENTION - STANDARDS	ACCIDENT PREVENTION	ACCIDENT PREVENTION
ACCIDENT PREVENTION - TESTING	ACCIDENT PREVENTION	ACCIDENT PREVENTION
ACCIDENT PREVENTION--HUMAN FACTORS	ACCIDENT PREVENTION	ACCIDENT PREVENTION
ACCIDENT PREVENTION--INSTRUMENTS	ACCIDENT PREVENTION	ACCIDENT PREVENTION
ACCIDENT PREVENTION--STANDARDS	ACCIDENT PREVENTION	ACCIDENT PREVENTION
ACCURACY ASSESSMENT	ACCURACY	ACCURACY
ACCURACY ESTIMATION	ACCURACY	ACCURACY
ACCURATE ESTIMATION	ACCURACY	ACCURACY
ACCURATE MEASUREMENT	ACCURACY	ACCURACY
ACETONITRILE	ACETIC ACID DERIVATIVE	ACETIC ACID DERIVATIVE
ACETYLENE	ACETIC ACID DERIVATIVE	ACETIC ACID DERIVATIVE
ACETONE SOLUTION	ACETONE	ACETONE
ACTIVATED CARBON CLOTH	ACTIVATED CARBON	ACTIVATED CARBON
ACTIVATION ENERGIES (EA)	ACTIVATION ENERGY	ACTIVATION ENERGY
ACTIVATION ENERGY (EA)	ACTIVATION ENERGY	ACTIVATION ENERGY
ACTIVATION ENERGY DEPENDENCE	ACTIVATION ENERGY	ACTIVATION ENERGY
ACTIVATION ENERGY DISTRIBUTION	ACTIVATION ENERGY	ACTIVATION ENERGY
ACTIVATION ENERGY OF DESORPTIONS	ACTIVATION ENERGY	ACTIVATION ENERGY
ADDICTION (ALCOHOL/DRUG)	ADDICTION	ADDICTION
ADDICTIVE DISORDERS	ADDICTION	ADDICTION
ADDICTIVE DISORDERS AS AN INTEGRAL PART OF THE PRACTICE OF MEDICINE	ADDICTION	ADDICTION
DEPENDENCE	ADDICTION	ADDICTION
DRUG DEPENDENCE	ADDICTION	ADDICTION
ADOLESCENCE	ADOLESCENT	ADOLESCENT
ADOLESCENTS	ADOLESCENT	ADOLESCENT
"ADOLESCENTS, MALE"	ADOLESCENT	ADOLESCENT
TEEN	ADOLESCENT	ADOLESCENT
TEENAGERS	ADOLESCENT	ADOLESCENT
YOUNG ADULT	ADOLESCENT	ADOLESCENT
YOUNG ADULTHOOD	ADOLESCENT	ADOLESCENT
YOUNG ADULTS	ADOLESCENT	ADOLESCENT
YOUNG PEOPLE	ADOLESCENT	ADOLESCENT
YOUNGSTERS	ADOLESCENT	ADOLESCENT
YOUTH	ADOLESCENT	ADOLESCENT
ADSORBABILITIES	ADSORPTION	ADSORPTION
ADSORBANTS	ADSORPTION	ADSORPTION
ADSORBENT	ADSORPTION	ADSORPTION
ADSORPTION ABILITY	ADSORPTION	ADSORPTION
ADULT POPULATION	ADULT	ADULT
ADULTHOOD	ADULT	ADULT
ADULTS	ADULT	ADULT
AGED ADULTS	ADULT	ADULT
ADULTERANTS	ADULTERANT	ADULTERANT
VERY ELDERLY	"AGED, 80 AND OVER"	"AGED, 80 AND OVER"
AGING	AGEING	AGEING
ALCOHOLIC BEVERAGE	ALCOHOL	ALCOHOL
ALCOHOLS	ALCOHOL	ALCOHOL
ETHYL ALCOHOL	ALCOHOL	ALCOHOL
