"Dataset","Current_Poly_R2","Power_Row_R2","Power_Row_a","Power_Row_b","Power_Pos_R2","Power_Pos_a","Power_Pos_b","Current_Mean_Abs_Bias","Power_Row_Mean_Abs_Bias","Power_Pos_Mean_Abs_Bias"
"ABS-S-1",0.9492,0.996719822912112,3164375.36028567,-0.993942663017494,0.99349993446693,246358.336254241,-1.19775659438069,14.4812027263173,4.93444751263607,5.88957869438445
"ABS-S-2",0.6724,0.998502836603586,2825688.32301957,-0.945607566395623,0.998751835317399,249145.22141378,-1.13825515097334,13.5391037315215,3.99707304537878,4.90155975615282
"Lab10-1",0.5712,0.991920683756285,2508082.10612805,-0.989543626835172,0.994686003286734,197723.611888387,-1.19302047134271,5.4985861921806,7.31328302370398,6.18641218527997
"Lab17-1",0.8537,0.991915644375417,3723102.85211571,-1.05063017471572,0.995202651963495,252835.917723355,-1.42640784463493,10.346310433164,8.05252596097976,9.61984448194621
