"Dataset","PETN_Power_R2","PETN_Power_b","IS_Power_R2","IS_Power_b","Current_Mean_Abs_Bias","PA_Power_Mean_Abs_Bias","Dual_Power_Mean_Abs_Bias","Current_Pass_Rate","PA_Power_Pass_Rate","Dual_Power_Pass_Rate"
"ABS-S-1",0.996719152734841,-0.992945861691822,0.998480489200709,-1.06667658330295,6.18336151245753,4.93444751263607,15.3023375437245,100,NA,60
"ABS-S-2",0.998520864951884,-0.944703112790119,0.998501716058232,-1.17877035373064,3.78976841774023,3.99707304537878,10.6820787616366,100,NA,80
"Lab10-1",0.991929599378643,-0.988848518074324,0.998326655606624,-1.12343629001304,6.24042815427717,7.31328302370398,5.22625106232074,100,NA,100
"Lab17-1",0.991807553806247,-1.0499172460435,0.990660064765311,-1.59411724799793,10.40003245139,8.05252596097976,17.0786277434439,75,NA,50
