"Type","N_Quantifiable","N_Confirmed","N_Failed","Pct_Failed"
"Blank",10,10,0,0
"Cal",66,66,0,0
"QC",86,86,0,0
"ResponseCheck",4,4,0,0
"Sample",264,264,0,0
