"Qualifier","N","Mean","SD","CV_pct"
"petn_qual57_ratio",12,0.0403915550430093,0.00220331155684157,5.5
"petn_qual76_ratio",66,0.101789063236677,0.0096572557953945,9.5
"rdx_qual46_ratio",66,6.66394732311253,1.74625617354375,26.2
"rdx_qual75_ratio",66,3.45103760099696,2.58484464373447,74.9
