"Dataset","PETN_Power_R2","PETN_Power_b","IS_Power_R2","IS_Power_b","Method1_Current_Bias","Method2_PA_Power_Bias","Method3_Dual_Power_Bias","Method4_PETN_Power_UncorrectedIS_Bias"
"ABS-S-1",0.996719822912112,-0.993942663017494,0.998480911941322,-1.06668735510056,14.4812027263173,4.93444751263607,15.3015396546913,181.800121118413
"ABS-S-2",0.998502836603586,-0.945607566395623,0.998503305009706,-1.17879694925401,13.5391037315215,3.99707304537878,10.7065276916455,251.472543313743
"Lab10-1",0.991920683756285,-0.989543626835172,0.998326924910422,-1.12344462986746,5.4985861921806,7.31328302370398,5.19520399079682,294.175558841268
"Lab17-1",0.991915644375417,-1.05063017471572,0.990660444524051,-1.59411193585217,10.346310433164,8.05252596097976,17.1103705804375,529.715905385123
