"Dataset","Line","SampleName","Type","petn_snr_flag","petn_qual76_snr_flag","petn_qual76_detected","rdx_snr_flag","rdx_qual46_snr_flag","rdx_qual75_snr_flag","rdx_qual46_detected","rdx_qual75_detected","rdx_both_detected","rdx_either_detected"
"Lab29",79,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOQ",NA,TRUE,FALSE,FALSE,TRUE
"Lab29",80,"Lab29 P2 S4              ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",81,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOQ",NA,TRUE,FALSE,FALSE,TRUE
"Lab29",82,"Lab29 P2 S5              ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",83,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
"Lab29",84,"Lab29 P2 S6              ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",85,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
"Lab29",86,"0.2ng RDX PETN QC        ","QC","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",87,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
"Lab29",88,"6ng RDX PETN QC          ","QC","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",89,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOQ","Below_LOD",TRUE,FALSE,FALSE,TRUE
"Lab33",1,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOQ","Below_LOD",TRUE,FALSE,FALSE,TRUE
"Lab33",2,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
