"Year","Keyword","x","Incidenceweight"
2001,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",1,"1"
2005,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",2,"2"
2007,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",1,"1"
2008,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",1,"1"
2009,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",2,"2"
2011,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",2,"2"
2015,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",1,"1"
2017,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",1,"1"
2019,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",2,"2"
2021,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",1,"1"
1992,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",1,"1"
1995,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",1,"1"
1998,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",1,"1"
2000,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",1,"1"
2001,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",2,"2"
2002,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",2,"2"
2003,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",3,"3"
2004,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",2,"2"
2005,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",4,"4"
2007,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",2,"2"
2008,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",6,"6"
2009,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",4,"4"
2010,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",4,"4"
2011,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",4,"4"
2012,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",2,"2"
2013,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",1,"1"
2014,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",4,"4"
2015,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",1,"1"
2017,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",1,"1"
2019,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",4,"4"
2021,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",2,"2"
2023,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",3,"3"
2024,"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",1,"1"
1999,"DESORPTION",1,"1"
2014,"DESORPTION",2,"2"
2015,"DESORPTION",1,"1"
2017,"DESORPTION",1,"1"
2019,"DESORPTION",1,"1"
2020,"DESORPTION",1,"1"
1994,"DETECTION",1,"1"
1999,"DETECTION",1,"1"
2002,"DETECTION",1,"1"
2003,"DETECTION",1,"1"
2009,"DETECTION",3,"3"
2010,"DETECTION",1,"1"
2011,"DETECTION",2,"2"
2012,"DETECTION",5,"5"
2013,"DETECTION",1,"1"
2014,"DETECTION",5,"5"
2017,"DETECTION",1,"1"
2018,"DETECTION",3,"3"
2019,"DETECTION",5,"5"
2020,"DETECTION",1,"1"
2021,"DETECTION",2,"2"
2022,"DETECTION",1,"1"
2023,"DETECTION",1,"1"
2024,"DETECTION",1,"1"
2002,"DETONATION",1,"1"
2003,"DETONATION",1,"1"
2011,"DETONATION",1,"1"
2016,"DETONATION",1,"1"
2024,"DETONATION",2,"2"
2013,"DIRECT ANALYSIS IN REAL TIME MASS SPECTROMETRY (DART-MS)",2,"2"
2016,"DIRECT ANALYSIS IN REAL TIME MASS SPECTROMETRY (DART-MS)",2,"2"
2019,"DIRECT ANALYSIS IN REAL TIME MASS SPECTROMETRY (DART-MS)",1,"1"
2022,"DIRECT ANALYSIS IN REAL TIME MASS SPECTROMETRY (DART-MS)",1,"1"
2006,"DRUG",1,"1"
2014,"DRUG",2,"2"
2015,"DRUG",1,"1"
2019,"DRUG",1,"1"
2021,"DRUG",1,"1"
2022,"DRUG",2,"2"
2023,"DRUG",1,"1"
1997,"ELECTRONIC NOSE",1,"1"
2005,"ELECTRONIC NOSE",1,"1"
2012,"ELECTRONIC NOSE",1,"1"
2014,"ELECTRONIC NOSE",1,"1"
2016,"ELECTRONIC NOSE",1,"1"
2017,"ELECTRONIC NOSE",1,"1"
2021,"ELECTRONIC NOSE",1,"1"
2024,"ELECTRONIC NOSE",1,"1"
1998,"ENERGETIC MATERIAL",1,"1"
2005,"ENERGETIC MATERIAL",1,"1"
2006,"ENERGETIC MATERIAL",1,"1"
2007,"ENERGETIC MATERIAL",1,"1"
2010,"ENERGETIC MATERIAL",2,"2"
2011,"ENERGETIC MATERIAL",1,"1"
2014,"ENERGETIC MATERIAL",1,"1"
2017,"ENERGETIC MATERIAL",1,"1"
2018,"ENERGETIC MATERIAL",2,"2"
2020,"ENERGETIC MATERIAL",1,"1"
2011,"EXPLOSION",1,"1"
2012,"EXPLOSION",1,"1"
2013,"EXPLOSION",1,"1"
2017,"EXPLOSION",1,"1"
2018,"EXPLOSION",1,"1"
2021,"EXPLOSION",1,"1"
1981,"EXPLOSIVE",1,"1"
1986,"EXPLOSIVE",1,"1"
1990,"EXPLOSIVE",1,"1"
1991,"EXPLOSIVE",3,"3"
1992,"EXPLOSIVE",1,"1"
1993,"EXPLOSIVE",4,"4"
1994,"EXPLOSIVE",4,"4"
1995,"EXPLOSIVE",1,"1"
1996,"EXPLOSIVE",3,"3"
1997,"EXPLOSIVE",2,"2"
1998,"EXPLOSIVE",2,"2"
1999,"EXPLOSIVE",4,"4"
2000,"EXPLOSIVE",4,"4"
2001,"EXPLOSIVE",6,"6"
2002,"EXPLOSIVE",3,"3"
2003,"EXPLOSIVE",6,"6"
2004,"EXPLOSIVE",2,"2"
2005,"EXPLOSIVE",10,">9"
2006,"EXPLOSIVE",8,"8"
2007,"EXPLOSIVE",12,">9"
2008,"EXPLOSIVE",8,"8"
2009,"EXPLOSIVE",14,">9"
2010,"EXPLOSIVE",18,">9"
2011,"EXPLOSIVE",16,">9"
2012,"EXPLOSIVE",23,">9"
2013,"EXPLOSIVE",16,">9"
2014,"EXPLOSIVE",22,">9"
2015,"EXPLOSIVE",13,">9"
2016,"EXPLOSIVE",20,">9"
2017,"EXPLOSIVE",14,">9"
