Uncorrected Explosive,Corrected Explosive,Explosive Type
HEXOGEN (RDX),Cyclotrimethylene-Trinitramine (RDX),NA
RDX,Cyclotrimethylene-Trinitramine (RDX),NA
"RDX (1,3,5-TRINITRO-1,3,5-TRIAZINE)",Cyclotrimethylene-Trinitramine (RDX),NA
RDX (CYCLOTRIMETHYLENE TRINITRAMINE),Cyclotrimethylene-Trinitramine (RDX),NA
"RDX (HEXAHYDRO-1 ,3 ,5-TRINITRO-1 ,3 ,5-TRIAZINE)",Cyclotrimethylene-Trinitramine (RDX),NA
RDX CRYSTAL,Cyclotrimethylene-Trinitramine (RDX),NA
RDX POWDERS,Cyclotrimethylene-Trinitramine (RDX),NA
"RECRYSTALLIZED CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX) POWDER",Cyclotrimethylene-Trinitramine (RDX),NA
Cyclotrimethylene-Trinitramine (RDX),Cyclotrimethylene-Trinitramine (RDX),NA
CYCLOTRIMETHYLENE-TRINITRAMINE (RDX),Cyclotrimethylene-Trinitramine (RDX),NA
Diamyl Phthalate,Diamyl Phthalate,NA
DIAMYL PHTHALATE,Diamyl Phthalate,NA
DDNP,Diazodinitrophenol (DDNP),NA
DIAZODINITROPHENOL,Diazodinitrophenol (DDNP),NA
Diazodinitrophenol (DDNP),Diazodinitrophenol (DDNP),NA
DIAZODINITROPHENOL (DDNP),Diazodinitrophenol (DDNP),NA
Dibutyl Phthalate,Dibutyl Phthalate,NA
DIBUTYL PHTHALATE,Dibutyl Phthalate,NA
DEGDN,Diethyleneglycol Dinitrate (DEGDN),NA
DIETHYLENEGLYCOL DINITRATE,Diethyleneglycol Dinitrate (DEGDN),NA
Diethyleneglycol Dinitrate (DEGDN),Diethyleneglycol Dinitrate (DEGDN),NA
DIETHYLENEGLYCOL DINITRATE (DEGDN),Diethyleneglycol Dinitrate (DEGDN),NA
Diglycerol Tetranitrate,Diglycerol Tetranitrate,NA
DIGLYCEROL TETRANITRATE,Diglycerol Tetranitrate,NA
"Dihydroxylammonium-3,3'-Dinitro-5,5'-Bis(1,2,4-Triazole)-1,1'-Diolate","Dihydroxylammonium-3,3'-Dinitro-5,5'-Bis(1,2,4-Triazole)-1,1'-Siolate",NA
"DIHYDROXYLAMMONIUM-3,3'-DINITRO-5,5'-BIS(1,2,4-TRIAZOLE)-1,1'-SIOLATE","Dihydroxylammonium-3,3'-Dinitro-5,5'-Bis(1,2,4-Triazole)-1,1'-Siolate",NA
"1,3-DINITROBENZENE",Dinitrobenzene (DNB),NA
DINITROBENZENE,Dinitrobenzene (DNB),NA
METADINITROBENZENE,Dinitrobenzene (DNB),NA
Dinitrobenzene (DNB),Dinitrobenzene (DNB),NA
DINITROBENZENE (DNB),Dinitrobenzene (DNB),NA
Dinitrodiazaheptane,Dinitrodiazaheptane,NA
DINITRODIAZAHEPTANE,Dinitrodiazaheptane,NA
Dinitrodiazahexane,Dinitrodiazahexane,NA
DINITRODIAZAHEXANE,Dinitrodiazahexane,NA
Dinitrodiazapentane,Dinitrodiazapentane,NA
DINITRODIAZAPENTANE,Dinitrodiazapentane,NA
Dinitrodimethyloxamide,Dinitrodimethyloxamide,NA
DINITRODIMETHYLOXAMIDE,Dinitrodimethyloxamide,NA
Dinitrodioxyethyloxamide Dinitrate,Dinitrodioxyethyloxamide Dinitrate,NA
DINITRODIOXYETHYLOXAMIDE DINITRATE,Dinitrodioxyethyloxamide Dinitrate,NA
DINGU,Dinitroglycolurile (DINGU),NA
DINITROGLYCOLURILE,Dinitroglycolurile (DINGU),NA
Dinitroglycolurile (DINGU),Dinitroglycolurile (DINGU),NA
DINITROGLYCOLURILE (DINGU),Dinitroglycolurile (DINGU),NA
Dinitroorthocresol,Dinitroorthocresol,NA
DINITROORTHOCRESOL,Dinitroorthocresol,NA
Dinitrophenoxyethylnitrate,Dinitrophenoxyethylnitrate,NA
DINITROPHENOXYETHYLNITRATE,Dinitrophenoxyethylnitrate,NA
DINITROPHENYLHYDRAZINE,Dinitrophenylhydrazine (DPNH),NA
DPNH,Dinitrophenylhydrazine (DPNH),NA
Dinitrophenylhydrazine (DPNH),Dinitrophenylhydrazine (DPNH),NA
DINITROPHENYLHYDRAZINE (DPNH),Dinitrophenylhydrazine (DPNH),NA
Dinitrosobenzene,Dinitrosobenzene,NA
DINITROSOBENZENE,Dinitrosobenzene,NA
DINITROTOLUENE,Dinitrotoluene (DNT),NA
DINITROTOLUENES,Dinitrotoluene (DNT),NA
DNT,Dinitrotoluene (DNT),NA
Dinitrotoluene (DNT),Dinitrotoluene (DNT),NA
DINITROTOLUENE (DNT),Dinitrotoluene (DNT),NA
DIOXYETHYLNITRAMINE DINITRATE,Dioxyethylnitramine Dinitrate (DINA),NA
Dioxyethylnitramine Dinitrate (DINA),Dioxyethylnitramine Dinitrate (DINA),NA
DIOXYETHYLNITRAMINE DINITRATE (DINA),Dioxyethylnitramine Dinitrate (DINA),NA
 DINA,Dioxyethylnitramine Dinitrate (DINA),NA
Dipentaerythritol Hexanitrate,Dipentaerythritol Hexanitrate,NA
DIPENTAERYTHRITOL HEXANITRATE,Dipentaerythritol Hexanitrate,NA
GELATIN DYNAMITE,Dynamite,NA
Dynamite,Dynamite,NA
DYNAMITE,Dynamite,NA
Ednatol,Ednatol,NA
EDNATOL,Ednatol,NA
