Uncorrected Explosive,Corrected Explosive,No Practical Use?
"2,4,6-TRINITROXYLENE","2,4,6-Trinitroxylene (TNX)",NA
"2,4,6-TRINITROXYLENE (TNX)","2,4,6-Trinitroxylene (TNX)",NA
TRINITROXYLENE,"2,4,6-Trinitroxylene (TNX)",NA
"2,4,6,2',4',6'-HEXANITROBIPHENYL","2,4,6,2',4',6'-Hexanitrobiphenyl",NA
HEXANITROBIPHENYL,"2,4,6,2',4',6'-Hexanitrobiphenyl",NA
"2,4,6,2',4',6'-HEXANITRODIPHENYL OXIDE","2,4,6,2',4',6'-Hexanitrodiphenyl Oxide",NA
HEXANITRODIPHENYL OXIDE,"2,4,6,2',4',6'-Hexanitrodiphenyl Oxide",NA
"2,4,6,2',4',6'-HEXANITRODIPHENYLAMINE","2,4,6,2',4',6'-Hexanitrodiphenylamine",NA
HEXANITRODIPHENYLAMINE,"2,4,6,2',4',6'-Hexanitrodiphenylamine",NA
"2,4,6,2',4',6'-HEXANITRODIPHENYLSULFIDE","2,4,6,2',4',6'-Hexanitrodiphenylsulfide",NA
HEXANITRODIPHENYLSULFIDE,"2,4,6,2',4',6'-Hexanitrodiphenylsulfide",NA
"2,4,6,2',4',6'-HEXANITRODIPHENYLSULFONE","2,4,6,2',4',6'-Hexanitrodiphenylsulfone",NA
HEXANITRODIPHENYLSULFONE,"2,4,6,2',4',6'-Hexanitrodiphenylsulfone",NA
"2,6-DIAMINO-3,5-DINITROPYRAZINE-1-OXIDE","2,6-Diamino-3,5-Dinitropyrazine-1-Oxide (LLM-105)",NA
"2,6-DIAMINO-3,5-DINITROPYRAZINE-1-OXIDE (LLM-105)","2,6-Diamino-3,5-Dinitropyrazine-1-Oxide (LLM-105)",NA
LLM-105,"2,6-Diamino-3,5-Dinitropyrazine-1-Oxide (LLM-105)",NA
"3_NITRO_1,2,4_TRIAZOL_3_ONE","3-Nitro-1,2,4-Triazol-5-One (NTO)",NA
"3_NITRO_1,2,4_TRIAZOLIN_5_ONE (NTO)","3-Nitro-1,2,4-Triazol-5-One (NTO)",NA
"3-NITRO-1,2,4-TRIAZOL-5-ONE","3-Nitro-1,2,4-Triazol-5-One (NTO)",NA
"3-NITRO-1,2,4-TRIAZOL-5-ONE (NTO)","3-Nitro-1,2,4-Triazol-5-One (NTO)",NA
"5-NITRO-2,4-DIHYDRO-3H-1,2,4-TRIAZOL-3-ONE","3-Nitro-1,2,4-Triazol-5-One (NTO)",NA
NTO,"3-Nitro-1,2,4-Triazol-5-One (NTO)",NA
"3,5-DINITRO-3,5-DIAZAHEPTANE","3,5-Dinitro-3,5-Diazaheptane",NA
"4,10-DINITRO-2,6,8,12-TETRAOXA-4,10-DIAZATETRACYCLO[5.5.0.05,903,11]-DODECANE","4,10-Dinitro-2,6,8,12-Tetraoxa-4,10-Diazawurtzitane (TEX)",NA
"4,10-DINITRO-2,6,8,12-TETRAOXA-4,10-DIAZAWURTZITANE","4,10-Dinitro-2,6,8,12-Tetraoxa-4,10-Diazawurtzitane (TEX)",NA
"4,10-DINITRO-2,6,8,12-TETRAOXA-4,10-DIAZAWURTZITANE (TEX)","4,10-Dinitro-2,6,8,12-Tetraoxa-4,10-Diazawurtzitane (TEX)",NA
TEX,"4,10-Dinitro-2,6,8,12-Tetraoxa-4,10-Diazawurtzitane (TEX)",NA
"4,6-DINITROBENZOFUROXAN","4,6-Dinitrobenzofuroxan (DNBF)",NA
"4,6-DINITROBENZOFUROXAN (DNBF)","4,6-Dinitrobenzofuroxan (DNBF)",NA
"4,6-DNBF","4,6-Dinitrobenzofuroxan (DNBF)",NA
DINITROBENZOFUROXAN,"4,6-Dinitrobenzofuroxan (DNBF)",NA
"5,5_-BISTETRAZOLE-1,1_-DIOLATE","5,5-Bistetrazole-1,1-Diolate (TKX-50)",NA
"5,5_-BISTETRAZOLE-1,1_-DIOLATE (TKX-50)","5,5-Bistetrazole-1,1-Diolate (TKX-50)",NA
"BISHYDROXYLAMMONIUM-5,5_-BIS(TETRAZOLATE-1N-OXIDE)","5,5-Bistetrazole-1,1-Diolate (TKX-50)",NA
TKX 50,"5,5-Bistetrazole-1,1-Diolate (TKX-50)",NA
TKX-50,"5,5-Bistetrazole-1,1-Diolate (TKX-50)",NA
TKX50,"5,5-Bistetrazole-1,1-Diolate (TKX-50)",NA
AMATEX,Amatex,NA
AMATOL,Amatol,NA
AMMONAL,Ammonal,NA
AMMONALS,Ammonal,NA
AMMONIUM AZIDE,Ammonium Azide,No Practical Use
AMMONIUM CHLORIDE,Ammonium Chloride,NA
AMMONIUM DICHROMATE,Ammonium Dichromate,NA
AMMONIUM DINITRAMIDE,Ammonium Dinitramide (ADN),NA
AMMONIUM DINITRAMIDE (ADN),Ammonium Dinitramide (ADN),NA
AMMONIUM NITRATE,Ammonium Nitrate (AN),NA
AMMONIUM NITRATE (AN),Ammonium Nitrate (AN),NA
AMMONIUM NITRATE AND POTASSIUM CHLORIDE,Ammonium Nitrate (AN),NA
AMMONIUM NITRATE AND SODIUM SULFATE,Ammonium Nitrate (AN),NA
AMMONIUM NITRATE EXPLOSIVES,Ammonium Nitrate (AN),NA
AMMONIUM NITRATE MIXTURES,Ammonium Nitrate (AN),NA
AMMONIUM NITRATES,Ammonium Nitrate (AN),NA
AN (AMMONIUM NITRATE),Ammonium Nitrate (AN),NA
AMMONIUM PERCHLORATE,Ammonium Perchlorate,NA
AMMONIUM PRECHLORATE (AP),Ammonium Perchlorate,NA
AMMONIUM PICRATE,Ammonium Picrate,NA
"AMMONIUM-2,4,6-TRINITROPHENOLATE",Ammonium Picrate,NA
ASTROLITE,Astrolite,NA
BARATOL,Baratol,NA
BARIUM CHLORATE,Barium Chlorate,NA
BARIUM NITRATE,Barium Nitrate,NA
BARIUM PERCHLORATE,Barium Perchlorate,NA
BENZOYL PEROXIDE,Benzoyl Peroxide,NA
BI-TRINITROETHYLNITRAMINE,Bi-trinitroethylnitramine,NA
BI-TRINITROETHYLUREA,Bi-trinitroethylurea,NA
BDNPA,"Bis(2,2-dinitropropyl)Acetal (BDNPA)",NA
"BIS(2,2-DINITROPROPYL)ACETAL","Bis(2,2-dinitropropyl)Acetal (BDNPA)",NA
"Bis(2,2-dinitropropyl)Acetal (BDNPA)","Bis(2,2-dinitropropyl)Acetal (BDNPA)",NA
"BIS(2,2-DINITROPROPYL)ACETAL (BDNPA)","Bis(2,2-dinitropropyl)Acetal (BDNPA)",NA
BDNPF,"Bis(2,2-dinitropropyl)Formal (BDNPF)",NA
"BIS(2,2-DINITROPROPYL)FORMAL","Bis(2,2-dinitropropyl)Formal (BDNPF)",NA
"BIS(2,2-DINITROPROPYL)FORMAL (BDNPF)","Bis(2,2-dinitropropyl)Formal (BDNPF)",NA
BIS(NITRAMINO)TRIAZINONE,Bis(nitramino)triazinone,NA
BLACK POWDER,Black Powder,NA
BLASTING GELATIN,Blasting Gelatin,NA
BTTN,Butanetriol Trinitrate (BTTN),NA
BUTANETRIOL TRINITRATE,Butanetriol Trinitrate (BTTN),NA
BUTANETRIOL TRINITRATE (BTTN),Butanetriol Trinitrate (BTTN),NA
CALCIUM NITRATE,Calcium Nitrate,NA
CALCIUM POTASSIUM STYPHNATE,Calcium Potassium Styphnate,NA
CAMPHOR,Camphor,NA
COMP A,Composition A,NA
COMP.A,Composition A,NA
COMPOSITION A ,Composition A,NA
COMP B,Composition B,NA
COMP.B,Composition B,NA
COMPOSITION B ,Composition B,NA
HEXOLITE,Composition B,NA
HEXOTOL,Composition B,NA
COMP C,Composition C,NA
COMP.C,Composition C,NA
COMPOSITION C ,Composition C,NA
COMPOSITION I ,Composition I,NA
COMPOSITION II ,Composition II,NA
COPPER (I) 5-NITROTETRAZOLATE,Copper (I) 5-Nitrotetrazolate (DBX-1),NA
COPPER (I) 5-NITROTETRAZOLATE (DBX-1),Copper (I) 5-Nitrotetrazolate (DBX-1),NA
DBX-1,Copper (I) 5-Nitrotetrazolate (DBX-1),NA
CORDITE,Cordite,NA
CYANURIC TRIAZIDE,Cyanuric Triazide,NA
?-HMX (?-CYCLOTETRAMETHYLENE TETRANITRAMINE),Cyclotetramethylene-Tetranitramine (HMX),NA
"1,3,5,7-TETRANITRO-1,3,5,7-TETRAZOCINE",Cyclotetramethylene-Tetranitramine (HMX),NA
CYCLOTETRAMETHYLENE TETRAMINE,Cyclotetramethylene-Tetranitramine (HMX),NA
CYCLOTETRAMETHYLENE TETRANITRAMINE,Cyclotetramethylene-Tetranitramine (HMX),NA
CYCLOTETRAMETHYLENE TETRANITRAMINE (HMX),Cyclotetramethylene-Tetranitramine (HMX),NA
CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX),Cyclotetramethylene-Tetranitramine (HMX),NA
CYCLOTETRAMETHYLENETETRANITRAMINE,Cyclotetramethylene-Tetranitramine (HMX),NA
HMX,Cyclotetramethylene-Tetranitramine (HMX),NA
OCTOGEN,Cyclotetramethylene-Tetranitramine (HMX),NA
CYCLOTRIMETHYLENE TRINITROSAMINE,Cyclotrimethylene Trinitrosamine (R-Salt),NA
"1,3,5 TRINITRO 1,3,5 TRIAZINANE",Cyclotrimethylene-Trinitramine (RDX),NA
"1,3,5 TRINITROSO 1,3,5 TRIAZINANE",Cyclotrimethylene-Trinitramine (RDX),NA
"1,3,5-TRINITRO-1,3,5-TRIAZINE (RDX)",Cyclotrimethylene-Trinitramine (RDX),NA
"1,3,5-TRINITRO-1,3,5-TRIAZOCYCLOHEXANE (RDX)",Cyclotrimethylene-Trinitramine (RDX),NA
"3,5_TRINITROPERHYDRO_1,3,5_TRIAZINE (RDX)",Cyclotrimethylene-Trinitramine (RDX),NA
A1. RDX,Cyclotrimethylene-Trinitramine (RDX),NA
CYCLONITE,Cyclotrimethylene-Trinitramine (RDX),NA
CYCLOTRIMETHYLENE TRINITRAMINE,Cyclotrimethylene-Trinitramine (RDX),NA
CYCLOTRIMETHYLENE TRINITRAMINE (RDX),Cyclotrimethylene-Trinitramine (RDX),NA
CYCLOTRIMETHYLENE-TRINITRAMINE,Cyclotrimethylene-Trinitramine (RDX),NA
CYCLOTRIMETHYLENE-TRINITRAMINE (RDX),Cyclotrimethylene-Trinitramine (RDX),NA
CYCLOTRIMETHYLENENITRAMINE,Cyclotrimethylene-Trinitramine (RDX),NA
CYCLOTRIMETHYLENETRINITRAMINE,Cyclotrimethylene-Trinitramine (RDX),NA
CYCLOTRIMETHYLENETRINITRAMINE (RDX),Cyclotrimethylene-Trinitramine (RDX),NA
"HEXAHYDRO 1,3,5 TRINITROSO 1,3,5 TRIAZINE",Cyclotrimethylene-Trinitramine (RDX),NA
"HEXAHYDRO-1 ,3 ,5-TRINITRO-1 ,3 ,5 TRIAZINES",Cyclotrimethylene-Trinitramine (RDX),NA
"HEXAHYDRO-1 ,3 ,5-TRINITRO-1 ,3 ,5-TRIAZINE",Cyclotrimethylene-Trinitramine (RDX),NA
"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",Cyclotrimethylene-Trinitramine (RDX),NA
"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE (RDX)",Cyclotrimethylene-Trinitramine (RDX),NA
HEXOGEN,Cyclotrimethylene-Trinitramine (RDX),NA
HEXOGEN (RDX),Cyclotrimethylene-Trinitramine (RDX),NA
RDX,Cyclotrimethylene-Trinitramine (RDX),NA
"RDX (1,3,5-TRINITRO-1,3,5-TRIAZINE)",Cyclotrimethylene-Trinitramine (RDX),NA
RDX (CYCLOTRIMETHYLENE TRINITRAMINE),Cyclotrimethylene-Trinitramine (RDX),NA
"RDX (HEXAHYDRO-1 ,3 ,5-TRINITRO-1 ,3 ,5-TRIAZINE)",Cyclotrimethylene-Trinitramine (RDX),NA
RDX CRYSTAL,Cyclotrimethylene-Trinitramine (RDX),NA
RDX POWDERS,Cyclotrimethylene-Trinitramine (RDX),NA
"RECRYSTALLIZED CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX) POWDER",Cyclotrimethylene-Trinitramine (RDX),NA
DIAMYL PHTHALATE,Diamyl Phthalate,NA
DDNP,Diazodinitrophenol (DDNP),NA
DIAZODINITROPHENOL,Diazodinitrophenol (DDNP),NA
DIAZODINITROPHENOL (DDNP),Diazodinitrophenol (DDNP),NA
DIBUTYL PHTHALATE,Dibutyl Phthalate,NA
DEGDN,Diethyleneglycol Dinitrate (DEGDN),NA
DIETHYLENEGLYCOL DINITRATE,Diethyleneglycol Dinitrate (DEGDN),NA
DIETHYLENEGLYCOL DINITRATE (DEGDN),Diethyleneglycol Dinitrate (DEGDN),NA
DIGLYCEROL TETRANITRATE,Diglycerol Tetranitrate,NA
"DIHYDROXYLAMMONIUM-3,3'-DINITRO-5,5'-BIS(1,2,4-TRIAZOLE)-1,1'-DIOLATE","Dihydroxylammonium-3,3'-Dinitro-5,5'-Bis(1,2,4-Triazole)-1,1'-Diolate (MAD-X1)",NA
"1,3-DINITROBENZENE",Dinitrobenzene (DNB),NA
DINITROBENZENE,Dinitrobenzene (DNB),NA
DINITROBENZENE (DNB),Dinitrobenzene (DNB),NA
METADINITROBENZENE,Dinitrobenzene (DNB),NA
DINITRODIAZAHEPTANE,Dinitrodiazaheptane,NA
DINITRODIAZAHEXANE,Dinitrodiazahexane,NA
Dinitrodiazapentane,Dinitrodiazapentane,NA
DINITRODIAZAPENTANE,Dinitrodiazapentane,NA
DINITRODIMETHYLOXAMIDE,Dinitrodimethyloxamide,NA
DINITRODIOXYETHYLOXAMIDE DINITRATE,Dinitrodioxyethyloxamide Dinitrate,NA
DINGU,Dinitroglycolurile (DINGU),NA
DINITROGLYCOLURILE,Dinitroglycolurile (DINGU),NA
DINITROGLYCOLURILE (DINGU),Dinitroglycolurile (DINGU),NA
DINITROORTHOCRESOL,Dinitroorthocresol,NA
DINITROPHENOXYETHYLNITRATE,Dinitrophenoxyethylnitrate,NA
DINITROPHENYLHYDRAZINE,Dinitrophenylhydrazine (DPNH),NA
DINITROPHENYLHYDRAZINE (DPNH),Dinitrophenylhydrazine (DPNH),NA
DPNH,Dinitrophenylhydrazine (DPNH),NA
DINITROSOBENZENE,Dinitrosobenzene,NA
DINITROTOLUENE,Dinitrotoluene (DNT),NA
DINITROTOLUENE (DNT),Dinitrotoluene (DNT),NA
DINITROTOLUENES,Dinitrotoluene (DNT),NA
DNT,Dinitrotoluene (DNT),NA
DINA,Dioxyethylnitramine Dinitrate (DINA),NA
DIOXYETHYLNITRAMINE DINITRATE,Dioxyethylnitramine Dinitrate (DINA),NA
DIOXYETHYLNITRAMINE DINITRATE (DINA),Dioxyethylnitramine Dinitrate (DINA),NA
DIPENTAERYTHRITOL HEXANITRATE,Dipentaerythritol Hexanitrate,NA
DYNAMITE,Dynamite,NA
GELATIN DYNAMITE,Dynamite,NA
EDNATOL,Ednatol,NA
ERYTHRITOL TETRANITRATE,Erythritol Tetranitrate (ETN),NA
ERYTHRITOL TETRANITRATE (ETN),Erythritol Tetranitrate (ETN),NA
ETN,Erythritol Tetranitrate (ETN),NA
ETHRIOL TRINITRATE,Ethriol Trinitrate,NA
ETHYL NITRATE,Ethyl Nitrate,NA
ETHYL PICRATE,Ethyl Picrate,NA
EDGN,Ethylene Glycol Dinitrate (EGDN),NA
EGDN,Ethylene Glycol Dinitrate (EGDN),NA
ETHYLENE GLYCOL DINITRATE,Ethylene Glycol Dinitrate (EGDN),NA
ETHYLENE GLYCOL DINITRATE (EGDN),Ethylene Glycol Dinitrate (EGDN),NA
ETHYLENEGLYCOL DINITRATE (EGDN),Ethylene Glycol Dinitrate (EGDN),NA
NITROGLYCOL,Ethylene Glycol Dinitrate (EGDN),NA
ETHYLENEDIAMINE DINITRATE,Ethylenediamine Dinitrate,NA
ETHYLENEDINITRAMINE,Ethylenedinitramine,NA
ETHYLTETRYL,Ethyltetryl,NA
GELIGNITE,Gelignite,NA
GELIGNITES,Gelignite,NA
GLYCEROL ACETATE DINITRATE,Glycerol Acetate Dinitrate,NA
GLYCEROL DINITRATE,Glycerol Dinitrate,NA
GLYCEROL NITROLACTATE DINITRATE,Glycerol Nitrolactate Dinitrate,NA
GLYCEROL TRINITROPHENYL ETHER DINITRATE,Glycerol Trinitrophenyl Ether Dinitrate,NA
"GLYCEROL-2,4-DINITROPHENYL ETHER DINITRATE","Glycerol-2,4-Dinitrophenyl Ether Dinitrate",NA
GLYCIDYL AZIDE POLYMER,Glycidyl Azide Polymer,NA
GSX,GSX,NA
GUANIDINE NITRATE,Guanidine Nitrate,NA
Guanidine Perchlorate,Guanidine Perchlorate,NA
GUANIDINE PERCHLORATE,Guanidine Perchlorate,NA
Guanidine Picrate,Guanidine Picrate,NA
GUANIDINE PICRATE,Guanidine Picrate,NA
FOX-12,Guanylureadinitramide (FOX-12),NA
GUANYLUREADINITRAMIDE,Guanylureadinitramide (FOX-12),NA
GUANYLUREADINITRAMIDE (FOX-12),Guanylureadinitramide (FOX-12),NA
GUN POWDER,Gun Powder,NA
HBX,HBX,NA
HEPTRYL,Heptryl,NA
HEXAL,Hexal,NA
HEXA-METHYLENE TRIPEROXIDE DIAMINE (HMTD),Hexamethylene Triperoxide Diamine (HMTD),No Practical Use
HEXAMETHYLENE TRIPEROXIDE DIAMINE,Hexamethylene Triperoxide Diamine (HMTD),No Practical Use
HEXAMETHYLENE TRIPEROXIDE DIAMINE (HMTD),Hexamethylene Triperoxide Diamine (HMTD),No Practical Use
HMTD,Hexamethylene Triperoxide Diamine (HMTD),No Practical Use
HEXAMETHYLENETETRAMINE DINITRATE,Hexamethylenetetramine Dinitrate,NA
HEXANITROAZOBENZENE,Hexanitroazobenzene,NA
HEXANITRODIPHENYLAMINOETHYL NITRATE,Hexanitrodiphenylaminoethyl Nitrate,NA
HEXANITRODIPHENYLGLYCEROL MONONITRATE,Hexanitrodiphenylglycerol Mononitrate,NA
HEXANITROETHANE,Hexanitroethane,No Practical Use
