"RetentionTime","TIC","Mass","Intensity"
185.50302,487,44,487
185.78898,774,43.9,604
185.78898,774,206.8,169
186.075,997,44,748
186.075,997,207.1,249
186.36,922,41.1,167
186.36,922,43.9,545
186.36,922,207.1,209
186.64602,936,44,706
186.64602,936,207,229
186.93198,812,44.1,520
186.93198,812,207.1,292
187.21698,781,44,616
187.21698,781,207.2,165
187.503,904,44,528
187.503,904,96,154
187.503,904,207.1,221
187.78902,730,43.9,730
188.07498,615,44,615
188.35998,920,44,732
188.35998,920,207,188
188.646,440,43.9,440
188.93202,896,44,724
188.93202,896,206.9,171
189.21702,741,44,741
189.50298,760,44,565
189.50298,760,207,194
189.789,710,43.9,552
189.789,710,207.1,158
190.07502,694,44,694
190.36002,765,44,579
190.36002,765,206.9,186
190.64598,1085,44.1,796
190.64598,1085,206.9,288
190.932,920,43.9,716
190.932,920,206.9,203
191.217,733,43.9,554
191.217,733,206.9,178
191.50302,758,43.8,590
191.50302,758,207.1,167
191.78898,712,44,712
192.075,731,43.9,731
192.36,1090,44,775
192.36,1090,73.1,156
192.36,1090,207,157
192.64602,1018,44,851
192.64602,1018,207.1,166
192.93198,860,43.9,638
192.93198,860,207,222
193.21698,801,43.9,801
193.503,797,44,620
193.503,797,206.9,176
193.78902,940,44,751
193.78902,940,206.7,189
194.07498,839,43.9,668
194.07498,839,206.9,170
194.35998,925,44,718
194.35998,925,206.9,207
194.646,616,44,616
194.93202,738,44,738
195.21798,1038,44,710
195.21798,1038,206.7,161
195.21798,1038,207.2,167
195.50298,742,43.9,578
195.50298,742,207.1,164
195.789,877,43.9,877
196.07502,552,44,552
196.36002,831,44,539
196.36002,831,206.9,292
196.64598,624,44,624
196.932,934,44,760
196.932,934,206.8,173
197.21802,920,43.9,765
197.21802,920,206.8,155
197.50302,814,44,575
197.50302,814,207.1,239
197.78898,913,43.9,728
197.78898,913,207,185
198.075,970,44,779
198.075,970,206.9,190
198.36,646,43.9,646
198.64602,787,43.9,787
198.93198,816,44,568
198.93198,816,206.9,247
199.218,770,43.9,770
199.503,923,43.9,923
199.78902,1008,43.9,834
199.78902,1008,206.8,173
200.07498,898,43.9,730
200.07498,898,207.1,167
200.35998,1012,44,716
200.35998,1012,207,295
200.646,737,44,737
200.93202,591,44,591
201.21798,929,44,761
201.21798,929,206.9,167
201.50298,677,44,677
201.789,687,44,687
202.07502,485,43.9,485
202.36002,737,44.1,737
202.64598,770,44,770
202.932,963,44,756
202.932,963,207.1,206
203.21802,643,43.9,643
203.50302,706,44,706
203.78898,638,43.9,638
204.075,695,43.9,695
204.36,468,44,468
204.64602,697,44.1,508
204.64602,697,206.9,188
204.93198,732,43.9,470
204.93198,732,206.9,261
205.218,847,44,847
205.503,868,44,711
205.503,868,207.2,156
205.78902,886,44,699
205.78902,886,207,186
