"RetentionTime","TIC","Mass","Intensity"
155.67402,13115,44,13115.22
155.89902,12759,44,12759.66
156.126,12736,44,12736.75
156.35298,12711,44,12711.24
156.58002,12359,44,12359.57
156.83502,11896,44,11896.75
157.09098,11489,44,11489.3
157.34598,11244,44,11244.11
157.60098,11467,44,11467.37
157.85598,12044,44,12044.86
158.112,12372,44,12372.7
158.367,12386,44,12386.32
158.62302,12607,44,12607.82
158.87802,12989,44,12989.77
159.13302,13030,44,13030.04
159.38898,12824,44,12824.75
159.64398,12819,44,12819.56
159.89898,13037,44,13037.25
160.15398,13288,44,13288.95
160.41,13550,44,13550.4
160.665,13738,44,13738
160.92102,13714,44,13714.74
161.17602,13639,44,13639.23
161.43102,13774,44,13774.42
161.68602,14079,44,14079.07
161.94198,14335,44,14335.02
162.19698,14344,44,14344.48
162.453,14074,44,14074.43
162.708,13773,44,13773.13
162.963,13643,44,13643.7
163.21902,13668,44,13668.62
163.47402,13855,44,13855.29
163.72902,14308,44,14308.68
163.98498,14953,44,14953.15
164.23998,15295,44,15295.19
164.49498,14948,44,14948.39
164.751,14368,44,14368.8
165.006,14316,44,14316.36
165.261,14788,44,14788.04
165.516,15149,44,15149.97
165.77202,15100,44,15100.99
166.02702,14970,44,14970.74
166.28298,15081,44,15081.19
166.53798,15258,44,15258.75
166.79298,15285,44,15285.74
167.049,15387,44,15387.95
167.304,15569,44,15569.87
167.56002,15280,44,15280.6
167.81502,14501,44,14501.12
168.07002,13875,44,13875.56
168.32502,13722,44,13722.06
168.58098,13901,44,13901.73
168.83598,14185,44,14185.39
169.09098,14602,44,14602.22
169.347,15129,44,15129.87
169.602,15179,44,15179.77
169.85802,14522,44,14522.29
170.11302,13864,44,13864.09
170.36802,13623,44,13623.57
170.62302,13481,44,13481.1
170.87898,13210,44,13210.67
171.13398,12921,44,12921.95
171.39,12822,44,12822.51
171.645,12979,44,12979.22
171.9,13179,44,13179.1
172.15602,13283,44,13283.91
172.41102,13350,44,13350.22
172.66602,13266,44,13266.92
172.92102,12966,44,12966.79
173.17698,12685,44,12685.97
173.43198,12663,44,12663.95
173.688,12962,44,12962.24
173.943,13340,44,13340.51
174.198,13331,44,13331.02
174.453,12861,44,12861.87
174.70902,12368,44,12368.52
174.96402,12069,44,12069.43
175.21998,11832,44,11832.6
175.47498,11708,44,11708.98
175.72998,11797,44,11797.29
175.986,11846,44,11846.25
176.241,11681,44,11681.43
176.496,11620,44,11620.6
176.751,11972,44,11972.68
177.00702,12516,44,12516.62
177.26202,12777,44,12777.4
177.51798,12712,44,12712.49
177.77298,12774,44,12774.67
178.02798,13051,44,13051.14
178.28298,12985,44,12985.47
178.539,12368,44,12368.19
178.794,11806,44,11806.02
179.05002,11768,44,11768.87
179.30502,11917,44,11917.49
179.56002,11943,44,11943.93
179.81598,12047,44,12047.26
180.07098,12159,44,12159.94
180.32598,12084,44,12084.62
180.58098,12062,44,12062.48
180.837,12273,44,12273.73
181.092,12539,44,12539.98
181.34802,12625,44,12625.81
181.60302,12425,44,12425.96
181.85802,12070,44,12070.56
182.11302,11710,44,11710.72
182.36898,11380,44,11380.03
182.625,11204,44,11204.95
182.88,11238,44,11238.97
183.135,11311,44,11311.25
183.39,11324,44,11324.71
183.64602,11398,44,11398.17
183.90102,11664,44,11664.67
184.15698,11954,44,11954.3
184.41198,12007,44,12007.04
184.66698,11986,44,11986.69
184.923,12044,44,12044.92
