"RetentionTime","TIC","Mass","Intensity"
407.00898,156792,210,156792.1
407.265,378664,89,121835.8
407.265,378664,210,256828.5
407.52,652615,63,127914
407.52,652615,89,165309.7
407.52,652615,210,359391.3
407.775,728096,63,139210.8
407.775,728096,89,180781.2
407.775,728096,210,408104.6
408.03102,632381,63,117584.8
408.03102,632381,89,153533.1
408.03102,632381,209.9,361264
408.28602,241067,209.9,241067.6
408.54198,119127,209.9,119127.5
506.24898,114021,46,114021.6
506.50398,297649,44,100455.3
506.50398,297649,46,197193.8
506.76,570092,42,142400.2
506.76,570092,44,123728.3
506.76,570092,46,303964.2
507.015,880562,42,209633.8
507.015,880562,44,142976.5
507.015,880562,46,426453.3
507.015,880562,75,101498.6
507.27102,1464510,42,284217
507.27102,1464510,44,158355.5
507.27102,1464510,46,554772.1
507.27102,1464510,56,106458.1
507.27102,1464510,75,141525.1
507.27102,1464510,119.9,100088.3
507.27102,1464510,128,119094.4
507.52602,1805580,42,359099.2
507.52602,1805580,44,171155.5
507.52602,1805580,46,678676.7
507.52602,1805580,56,133785.5
507.52602,1805580,75,184514.2
507.52602,1805580,119.9,129525.8
507.52602,1805580,128,148822.4
507.78198,2226880,42,429294.4
507.78198,2226880,44,182204.4
507.78198,2226880,46,789936.2
507.78198,2226880,56,159343.6
507.78198,2226880,71,104711.7
507.78198,2226880,75,225287.7
507.78198,2226880,119.9,159536.1
507.78198,2226880,128,176565
508.03698,2489890,42,486058.2
508.03698,2489890,44,189385.8
508.03698,2489890,46,874971
508.03698,2489890,56,180930.8
508.03698,2489890,71,118585.1
508.03698,2489890,75,256807.2
508.03698,2489890,119.9,183936.2
508.03698,2489890,128,199219.9
508.29198,2651930,41,107814.5
508.29198,2651930,42,499538.8
508.29198,2651930,44,186647.9
508.29198,2651930,46,887035.4
508.29198,2651930,56,188033.3
508.29198,2651930,71,121665.4
508.29198,2651930,75,264289.3
508.29198,2651930,119.9,189864
508.29198,2651930,128,207046.2
508.548,2208340,42,430558.9
508.548,2208340,44,167144.3
508.548,2208340,46,763561.2
508.548,2208340,56,164724.9
508.548,2208340,71,105257
508.548,2208340,75,228556
508.548,2208340,119.9,164509.9
508.548,2208340,128,184025.5
508.803,1459880,42,290743.1
508.803,1459880,44,132317.9
508.803,1459880,46,525358.4
508.803,1459880,56,113321.7
508.803,1459880,75,155389.2
508.803,1459880,119.9,112646.5
508.803,1459880,128,130103.6
509.05902,448043,42,154221.8
509.05902,448043,46,293821.8
509.31402,157238,46,157238.6
509.56998,100221,46,100221.6
