"RetentionTime","TIC","Mass","Intensity"
187.73502,11161,44,11161.59
187.99002,11172,44,11172.03
188.24598,11270,44,11270.95
188.50098,11224,44,11224.11
188.75598,11315,44,11315.19
189.01098,11688,44,11688.59
189.267,11995,44,11995.62
189.522,12052,44,12052.09
189.77802,12011,44,12011.43
190.03302,11856,44,11856.77
190.28802,11538,44,11538.86
190.54398,11257,44,11257.4
190.79898,11194,44,11194.03
191.05398,11395,44,11395.45
191.31,11638,44,11638.55
191.565,11588,44,11588.25
191.82,11422,44,11422.25
192.07602,11566,44,11566.75
192.33102,11893,44,11893.68
192.58602,12016,44,12016.4
192.84102,11879,44,11879.74
193.09698,11567,44,11567.66
193.35198,11216,44,11216.3
193.608,11062,44,11062.56
193.863,11183,44,11183.83
194.118,11495,44,11495.62
194.37402,11826,44,11826.37
194.62902,11854,44,11854.59
194.88402,11556,44,11556.36
195.13902,11409,44,11409.56
195.39402,11620,44,11620.81
195.64998,11840,44,11840.56
195.906,11899,44,11899.77
196.161,11916,44,11916.79
196.416,11818,44,11818.39
196.671,11672,44,11672.83
196.92702,11786,44,11786.8
197.18202,12004,44,12004.79
197.43702,11980,44,11980.6
197.69298,11798,44,11798.55
197.94798,11547,44,11547.36
198.20298,11276,44,11276.98
198.459,11298,44,11298.51
198.714,11519,44,11519.42
198.969,11454,44,11454.68
199.224,11116,44,11116.77
199.48002,10921,44,10921.57
199.73598,11120,44,11120.5
199.99098,11636,44,11636.61
200.24598,12105,44,12105.21
200.50098,12172,44,12172.71
200.757,11872,44,11872.35
201.012,11687,44,11687.27
201.267,11934,44,11934.08
201.52302,12126,44,12126.84
201.77802,11845,44,11845.76
202.03302,11552,44,11552.59
202.28898,11620,44,11620.22
202.54398,11795,44,11795.04
202.79898,11845,44,11845.71
203.05398,11711,44,11711.28
203.31,11427,44,11427.02
203.565,11255,44,11255.2
203.82102,11344,44,11344.77
204.07602,11453,44,11453.06
204.33102,11444,44,11445
204.58698,11583,44,11583.31
204.84198,11811,44,11811.56
205.09698,11749,44,11749.89
205.353,11569,44,11569.91
205.608,11593,44,11593.45
205.863,11634,44,11634.98
206.11902,11543,44,11543.16
206.37402,11564,44,11564.9
206.62902,11804,44,11804.16
206.88402,11960,44,11960.17
207.13998,11916,44,11916.71
207.39498,11973,44,11973.34
207.651,12098,44,12098.98
207.906,11861,44,11861.33
208.161,11402,44,11402.77
208.41702,11263,44,11263.61
208.67202,11312,44,11312.14
208.92702,11156,44,11156.22
209.18202,11074,44,11074.94
209.43798,11449,44,11449.29
209.69298,11990,44,11990.59
209.949,12183,44,12183.12
210.204,12026,44,12026.66
210.459,11828,44,11828.38
210.714,11632,44,11632.06
210.97002,11445,44,11445.74
211.22502,11419,44,11419.52
211.48098,11448,44,11448.27
211.73598,11337,44,11337.28
211.99098,11218,44,11218.18
212.247,11258,44,11258.1
212.502,11348,44,11348.41
212.757,11370,44,11370.21
213.012,11448,44,11448.47
213.26802,11714,44,11714.72
213.52302,11993,44,11993.53
213.77802,12043,44,12043.67
214.03398,11940,44,11940.7
214.28898,11788,44,11788.26
214.54398,11479,44,11479.27
214.8,11149,44,11149.73
215.055,11098,44,11098.6
215.31,11128,44,11128.72
215.565,10904,44,10904.38
215.82102,10635,44,10635.94
216.07602,10699,44,10699.69
216.33198,10989,44,10989.23
216.58698,11215,44,11215.18
216.84198,11628,44,11628.73
217.09698,12338,44,12338.94
217.353,12619,44,12619.85
217.608,12214,44,12214.6
217.863,11806,44,11806.49
218.11902,11783,44,11783.43
218.37402,11929,44,11929.1
218.62902,11933,44,11933.2
218.88498,11730,44,11730.62
219.13998,11501,44,11501.4
219.39498,11275,44,11275.71
219.64998,11048,44,11048.19
219.906,11101,44,11101.28
220.161,11432,44,11432.18
220.41702,11597,44,11597.71
220.67202,11573,44,11573.23
220.92702,11623,44,11623.45
221.18202,11589,44,11589.72
221.43798,11358,44,11358.99
221.69298,11187,44,11187.16
221.94798,11153,44,11153.43
222.204,11104,44,11104.45
222.459,11031,44,11031.59
222.714,11113,44,11113.98
222.97002,11333,44,11333.62
223.22502,11439,44,11439.46
223.48098,11398,44,11398.08
223.73598,11369,44,11369.27
