"RetentionTime","TIC","Mass","Intensity"
155.67798,14927,42,1083.987
155.67798,14927,42.9,1007.072
155.67798,14927,44,12836.11
155.904,14980,42,1082.463
155.904,14980,42.9,1090.996
155.904,14980,44,12806.66
156.13002,14814,41.9,1019.661
156.13002,14814,42.9,1070.96
156.13002,14814,44,12724.36
156.357,14840,41.9,1028.433
156.357,14840,42.9,1024.805
156.357,14840,44,12787.05
156.58398,13943,41.9,1000.972
156.58398,13943,44,12942.32
156.84,13012,44,13012.35
157.095,12877,44,12877.58
157.35,13698,41.9,1011.127
157.35,13698,44,12687.44
157.60602,12679,44,12679.75
157.86102,12755,44,12755.23
158.11602,13684,43,1005.624
158.11602,13684,44,12679.29
158.37198,13509,43,1017.202
158.37198,13509,44,12492.03
158.62698,12372,44,12372.48
158.88198,12375,44,12375.12
159.138,12441,44,12441.62
159.393,13584,42,1016.834
159.393,13584,44,12567.19
159.64902,13909,42,1079.871
159.64902,13909,44,12829.66
159.90402,14151,42,1038.887
159.90402,14151,44,13112.36
160.15902,14183,41.9,1024.36
160.15902,14183,44,13159
160.41402,14028,41.9,1019.043
160.41402,14028,44,13009.79
160.66998,15660,41.1,2723.48
160.66998,15660,44,12937.13
160.92498,14978,42,1010.799
160.92498,14978,42.9,1006.043
160.92498,14978,44,12961.7
161.181,15014,42,1039.034
161.181,15014,42.9,1039.004
161.181,15014,44,12936.14
161.436,14020,42,1033.588
161.436,14020,44,12987.3
161.691,13190,44,13190.24
161.94702,13268,44,13268.35
162.20202,13222,44,13222.45
162.45702,13388,44,13388.96
162.71202,13697,44,13697.89
162.96798,13830,44,13830.1
163.22298,13772,44,13772.22
163.479,16859,41.1,2220.427
163.479,16859,41.9,1035.512
163.479,16859,44,13603.52
163.734,16762,41.1,2299.492
163.734,16762,41.9,1079.718
163.734,16762,44,13383.47
163.989,13415,44,13415.22
164.244,13879,44,13879.79
164.50002,14359,44,14359.15
164.75502,14526,44,14526.61
165.01098,14693,44,14693.34
165.26598,14926,44,14926.12
165.52098,17100,41.1,2190.406
165.52098,17100,44,14910.02
165.777,17258,41.1,2360.532
165.777,17258,44,14897.81
166.032,15220,44,15220.95
166.287,15429,44,15429.12
166.542,15114,44,15114.26
166.79802,14710,44,14710.6
167.05302,14814,44,14814.18
167.30898,15228,44,15228.47
167.56398,15289,44,15289.79
167.81898,14962,44,14962.77
168.07398,14745,44,14745.33
168.33,14737,44,14737.99
168.585,14668,44,14668.12
168.84102,14471,44,14471.84
169.09602,14306,44,14306.83
169.35102,14215,44,14215.12
169.60698,14084,44,14084.76
169.86198,13960,44,13960
170.11698,13962,44,13962.93
170.37198,16084,41,2190.036
170.37198,16084,44,13894.9
170.628,13579,44,13579.37
170.883,13282,44,13282.45
171.13902,13252,44,13252.39
171.39402,13400,44,13400.44
171.64902,13525,44,13525.44
171.90402,13458,44,13458.54
172.15998,13161,44,13161.43
172.41498,12817,44,12817.64
172.66998,12714,44,12714.36
172.926,12866,44,12866.56
173.181,12962,44,12962.79
173.436,12838,44,12838.87
173.69202,12627,44,12627.89
173.94702,12598,44,12598.94
174.20202,12827,44,12827.92
174.45798,12879,44,12879.18
174.71298,12510,44,12510.88
174.969,12209,44,12209.75
175.224,12174,44,12174.88
175.479,11985,44,11985.33
175.734,11678,44,11678.99
175.99002,11761,44,11761.14
176.24502,12140,44,12140.57
176.50098,12251,44,12251.21
176.75598,12128,44,12128.93
177.01098,12276,44,12276.75
177.267,12596,44,12596.98
177.522,12576,44,12576.24
177.777,12308,44,12308.29
178.032,12204,44,12204.03
178.28802,12217,44,12217.89
178.54302,12234,44,12234.11
178.79802,12291,44,12291.5
179.05398,12182,44,12182.1
179.30898,11782,44,11782.85
179.56398,11474,44,11474.22
179.82,11608,44,11608.86
180.075,11977,44,11977.09
180.33,12131,44,12131.99
180.58602,11987,44,11987.78
180.84102,11795,44,11795.5
181.09602,11755,44,11755.28
181.35198,11881,44,11881.61
181.60698,12077,44,12077.51
181.86198,12298,44,12298.34
182.11698,12514,44,12514.41
182.373,12634,44,12634.58
182.628,12649,44,12649.22
182.88402,12490,44,12490.63
183.13902,12029,44,12029.42
183.39402,11540,44,11540.55
183.64998,11422,44,11422.72
183.90498,11642,44,11642.01
184.15998,12041,44,12041.49
184.41498,12397,44,12397.78
184.671,12295,44,12295.93
184.926,11778,44,11778.53
185.18202,11463,44,11463.53
185.43702,11642,44,11642.17
185.69202,11961,44,11962
185.94702,12110,44,12110.22
186.20298,12121,44,12121.21
186.45798,11995,44,11995.94
186.714,11766,44,11766.08
186.969,11626,44,11626.94
187.224,11621,44,11621.21
187.48002,11750,44,11750.3
187.73502,12035,44,12035.46
187.99002,12206,44,12206.7
188.24502,12046,44,12046.78
188.50098,11700,44,11700.31
188.75598,11457,44,11457.16
189.012,11655,44,11655.52
189.267,12116,44,12116.32
189.522,12103,44,12103.26
189.777,11632,44,11632.72
190.03302,11448,44,11448.23
190.28802,11708,44,11708.04
190.54398,12000,44,12000.06
190.79898,12045,44,12045.65
191.05398,11921,44,11921.48
191.31,11891,44,11891.57
191.565,11960,44,11960.37
191.82,11945,44,11945.26
192.075,11858,44,11858.9
192.33102,11780,44,11780.74
192.58602,11733,44,11733
192.84102,11695,44,11695.56
193.09698,11587,44,11587.76
193.35198,11484,44,11484.99
193.60698,11564,44,11564.02
193.863,11732,44,11732.77
194.118,11719,44,11719.59
194.373,11381,44,11381.93
194.62902,10941,44,10941.15
194.88402,10910,44,10910.01
195.13902,11371,44,11371.34
195.39498,11810,44,11810.6
195.64998,11947,44,11947.68
195.90498,12026,44,12026.68
196.15998,12196,44,12196.17
196.416,12096,44,12096.22
196.671,11591,44,11591.55
196.92702,11348,44,11348.43
197.18202,11654,44,11654.68
197.43702,11922,44,11922.19
197.69298,11962,44,11962.1
197.94798,12030,44,12030.06
198.20298,12011,44,12011.1
198.459,11845,44,11845.15
198.714,11703,44,11703.39
198.969,11560,44,11560.89
199.22502,11430,44,11430.57
199.48002,11393,44,11393.6
199.73502,11400,44,11400.41
199.99002,11497,44,11497.28
200.24598,11636,44,11636.51
200.50098,11566,44,11566.79
200.757,11434,44,11434.8
201.012,11626,44,11626.88
201.267,12009,44,12009.21
201.52302,12124,44,12124.44
201.77802,11876,44,11876.65
202.03302,11567,44,11567.1
202.28802,11368,44,11368.83
202.54398,11238,44,11238.78
202.79898,11315,44,11315.46
203.055,11661,44,11661.01
203.31,11942,44,11942.92
203.565,12036,44,12036.71
203.82,12161,44,12161.16
204.07602,12249,44,12249.16
204.33102,12107,44,12107.18
204.58698,11983,44,11983.34
204.84198,12215,44,12215.56
205.09698,12561,44,12561.04
205.353,12533,44,12533.36
205.608,12289,44,12289.15
205.863,12262,44,12262.82
206.118,12264,44,12264.65
206.37402,12091,44,12091.04
206.62902,12015,44,12015.46
206.88402,12035,44,12035.64
207.13998,11941,44,11941.28
