"Year","Explosive_List","Count","YearTotal","Percentage","graphorder"
2003,"Triacetone Triperoxide (TATP)",2,20,3.84615384615385,2001
2004,"Triacetone Triperoxide (TATP)",2,24,7.14285714285714,2001
2005,"Triacetone Triperoxide (TATP)",3,31,5.08474576271187,2001
2006,"Triacetone Triperoxide (TATP)",4,31,10,2001
2007,"Triacetone Triperoxide (TATP)",2,148,1.02564102564103,2001
2008,"Triacetone Triperoxide (TATP)",10,167,4.46428571428571,2001
2009,"Triacetone Triperoxide (TATP)",11,199,3.87323943661972,2001
2010,"Triacetone Triperoxide (TATP)",22,318,6.70731707317073,2001
2011,"Triacetone Triperoxide (TATP)",13,358,3.15533980582524,2001
2012,"Triacetone Triperoxide (TATP)",20,457,3.3500837520938,2001
2013,"Triacetone Triperoxide (TATP)",10,252,2.9673590504451,2001
2014,"Triacetone Triperoxide (TATP)",13,337,2.86975717439294,2001
2015,"Triacetone Triperoxide (TATP)",8,220,2.74914089347079,2001
2016,"Triacetone Triperoxide (TATP)",9,235,2.57142857142857,2001
2017,"Triacetone Triperoxide (TATP)",12,285,3,2001
2018,"Triacetone Triperoxide (TATP)",18,413,3.24909747292419,2001
2019,"Triacetone Triperoxide (TATP)",16,341,3.45572354211663,2001
2020,"Triacetone Triperoxide (TATP)",14,380,2.88659793814433,2001
2021,"Triacetone Triperoxide (TATP)",14,380,3.00429184549356,2001
2022,"Triacetone Triperoxide (TATP)",3,21,11.5384615384615,2001
