"Year","Explosive_List","Count","YearTotal","Percentage","graphorder"
2001,"2,4,6-Trinitrotoluene (TNT)",79,1082,18.4149184149184,2001
2002,"2,4,6-Trinitrotoluene (TNT)",74,1121,16.9724770642202,2001
2003,"2,4,6-Trinitrotoluene (TNT)",77,1307,15.650406504065,2001
2004,"2,4,6-Trinitrotoluene (TNT)",107,1613,20.0750469043152,2001
2005,"2,4,6-Trinitrotoluene (TNT)",111,1771,17.2897196261682,2001
2006,"2,4,6-Trinitrotoluene (TNT)",117,1995,15.8322056833559,2001
2007,"2,4,6-Trinitrotoluene (TNT)",140,1896,19.2572214580468,2001
2008,"2,4,6-Trinitrotoluene (TNT)",156,2270,19.647355163728,2001
2009,"2,4,6-Trinitrotoluene (TNT)",183,2299,19.3650793650794,2001
2010,"2,4,6-Trinitrotoluene (TNT)",183,2528,17.9060665362035,2001
2011,"2,4,6-Trinitrotoluene (TNT)",206,2608,19.9226305609284,2001
2012,"2,4,6-Trinitrotoluene (TNT)",241,2476,19.1118160190325,2001
2013,"2,4,6-Trinitrotoluene (TNT)",229,2510,19.9477351916376,2001
2014,"2,4,6-Trinitrotoluene (TNT)",228,2605,17.4178762414057,2001
2015,"2,4,6-Trinitrotoluene (TNT)",225,2455,17.9140127388535,2001
2016,"2,4,6-Trinitrotoluene (TNT)",200,2740,13.7931034482759,2001
2017,"2,4,6-Trinitrotoluene (TNT)",228,2866,15.5313351498638,2001
2018,"2,4,6-Trinitrotoluene (TNT)",206,2908,14.7142857142857,2001
2019,"2,4,6-Trinitrotoluene (TNT)",219,3201,16.1504424778761,2001
2020,"2,4,6-Trinitrotoluene (TNT)",247,3139,16.6554281861092,2001
2021,"2,4,6-Trinitrotoluene (TNT)",206,3047,16.0311284046693,2001
2022,"2,4,6-Trinitrotoluene (TNT)",232,3178,16.1898115840893,2001
2001,"Ammonium Nitrate (AN)",25,1082,5.82750582750583,2001
2002,"Ammonium Nitrate (AN)",25,1121,5.73394495412844,2001
2003,"Ammonium Nitrate (AN)",27,1307,5.48780487804878,2001
2004,"Ammonium Nitrate (AN)",17,1613,3.18949343339587,2001
2005,"Ammonium Nitrate (AN)",22,1771,3.42679127725857,2001
2006,"Ammonium Nitrate (AN)",13,1995,1.75913396481732,2001
2007,"Ammonium Nitrate (AN)",25,1896,3.43878954607978,2001
2008,"Ammonium Nitrate (AN)",26,2270,3.27455919395466,2001
2009,"Ammonium Nitrate (AN)",25,2299,2.64550264550265,2001
2010,"Ammonium Nitrate (AN)",26,2528,2.5440313111546,2001
2011,"Ammonium Nitrate (AN)",39,2608,3.77176015473888,2001
2012,"Ammonium Nitrate (AN)",30,2476,2.37906423473434,2001
2013,"Ammonium Nitrate (AN)",36,2510,3.13588850174216,2001
2014,"Ammonium Nitrate (AN)",47,2605,3.59052711993888,2001
2015,"Ammonium Nitrate (AN)",36,2455,2.86624203821656,2001
