"Year","Keyword","x","Incidenceweight"
2005,"2,4,6-TRINITROTOLUENE",1,"1-2"
2007,"2,4,6-TRINITROTOLUENE",3,"3-5"
2008,"2,4,6-TRINITROTOLUENE",7,"6-9"
2009,"2,4,6-TRINITROTOLUENE",4,"3-5"
2010,"2,4,6-TRINITROTOLUENE",1,"1-2"
2011,"2,4,6-TRINITROTOLUENE",4,"3-5"
2012,"2,4,6-TRINITROTOLUENE",8,"6-9"
2013,"2,4,6-TRINITROTOLUENE",3,"3-5"
2014,"2,4,6-TRINITROTOLUENE",1,"1-2"
2015,"2,4,6-TRINITROTOLUENE",4,"3-5"
2016,"2,4,6-TRINITROTOLUENE",2,"1-2"
2017,"2,4,6-TRINITROTOLUENE",3,"3-5"
2020,"2,4,6-TRINITROTOLUENE",3,"3-5"
2021,"2,4,6-TRINITROTOLUENE",4,"3-5"
2004,"2,4,6-TRINITROTOLUENE (TNT)",1,"1-2"
2009,"2,4,6-TRINITROTOLUENE (TNT)",1,"1-2"
2010,"2,4,6-TRINITROTOLUENE (TNT)",3,"3-5"
2011,"2,4,6-TRINITROTOLUENE (TNT)",4,"3-5"
2012,"2,4,6-TRINITROTOLUENE (TNT)",1,"1-2"
2013,"2,4,6-TRINITROTOLUENE (TNT)",1,"1-2"
2014,"2,4,6-TRINITROTOLUENE (TNT)",2,"1-2"
2015,"2,4,6-TRINITROTOLUENE (TNT)",1,"1-2"
2018,"2,4,6-TRINITROTOLUENE (TNT)",1,"1-2"
2020,"2,4,6-TRINITROTOLUENE (TNT)",3,"3-5"
2021,"2,4,6-TRINITROTOLUENE (TNT)",2,"1-2"
2007,"ACTIVATION ENERGY",1,"1-2"
2008,"ACTIVATION ENERGY",1,"1-2"
2009,"ACTIVATION ENERGY",2,"1-2"
2011,"ACTIVATION ENERGY",1,"1-2"
2012,"ACTIVATION ENERGY",3,"3-5"
2013,"ACTIVATION ENERGY",2,"1-2"
2014,"ACTIVATION ENERGY",1,"1-2"
2016,"ACTIVATION ENERGY",1,"1-2"
2018,"ACTIVATION ENERGY",1,"1-2"
2020,"ACTIVATION ENERGY",2,"1-2"
2021,"ACTIVATION ENERGY",1,"1-2"
2005,"ADSORPTION",1,"1-2"
2010,"ADSORPTION",2,"1-2"
2011,"ADSORPTION",3,"3-5"
2012,"ADSORPTION",2,"1-2"
2013,"ADSORPTION",1,"1-2"
2014,"ADSORPTION",1,"1-2"
2015,"ADSORPTION",1,"1-2"
2018,"ADSORPTION",1,"1-2"
2019,"ADSORPTION",1,"1-2"
2021,"ADSORPTION",2,"1-2"
2011,"AGGREGATION-INDUCED EMISSION",1,"1-2"
2014,"AGGREGATION-INDUCED EMISSION",2,"1-2"
2017,"AGGREGATION-INDUCED EMISSION",3,"3-5"
2018,"AGGREGATION-INDUCED EMISSION",4,"3-5"
2020,"AGGREGATION-INDUCED EMISSION",3,"3-5"
2021,"AGGREGATION-INDUCED EMISSION",4,"3-5"
2001,"AMMONIUM NITRATE",1,"1-2"
2004,"AMMONIUM NITRATE",1,"1-2"
2007,"AMMONIUM NITRATE",1,"1-2"
