Label,Lngx,Laty,Continent,ID
Zhaoqing China,112.45,23.05,Asia,Zhaoqing China
Atsugi Japan,139.36,35.45,Asia,Atsugi Japan
Kaohsiung Taiwan,120.27,22.63,Asia,Kaohsiung Taiwan
Leiden Netherlands,4.49,52.17,Europe,Leiden Netherlands
Nijmegen Netherlands,5.85,51.84,Europe,Nijmegen Netherlands
Bangor UK,-4.12,53.27,Europe,Bangor UK
Eindhoven Netherlands,5.47,51.44,Europe,Eindhoven Netherlands
Utrera Spain,-5.78,37.18,Europe,Utrera Spain
Porto Portugal,-8.62,41.15,Europe,Porto Portugal
Pereira Colombia,-75.68,4.81,Americas,Pereira Colombia
Capivari Brazil,-47.52,-23.01,Americas,Capivari Brazil
Aveiro Portugal,-8.66,40.65,Europe,Aveiro Portugal
Bathurst Canada,-65.65,47.62,Americas,Bathurst Canada
Missoula USA,-114.01,46.87,Americas,Missoula USA
Patna India,85.13,25.62,Asia,Patna India
Palakkad India,76.65,10.78,Asia,Palakkad India
Kangar Malaysia,100.19,6.44,Asia,Kangar Malaysia
Cleveland USA,-81.68,41.48,Americas,Cleveland USA
Reston USA,-77.35,38.95,Americas,Reston USA
Richland USA,-119.29,46.29,Americas,Richland USA
Linfen China,111.52,36.08,Asia,Linfen China
Kusatsu Japan,135.95,35.02,Asia,Kusatsu Japan
Malang Indonesia,112.62,-7.98,Asia,Malang Indonesia
Aarau Switzerland,8.04,47.4,Europe,Aarau Switzerland
Zurich Switzerland,8.54,47.38,Europe,Zurich Switzerland
Bielsko-Biala Poland,19.05,49.82,Europe,Bielsko-Biala Poland
Leicester UK,-1.13,52.64,Europe,Leicester UK
Tustin USA,-117.81,33.73,Americas,Tustin USA
Biysk Russia,85.17,52.53,Europe,Biysk Russia
Perth Australia,115.84,-31.96,Oceania,Perth Australia
Cincinnati USA,-84.51,39.14,Americas,Cincinnati USA
Toledo USA,-83.58,41.66,Americas,Toledo USA
Swansea UK,-3.96,51.63,Europe,Swansea UK
Clinceni Romania,25.95,44.37,Europe,Clinceni Romania
Pondicherry India,79.83,11.94,Asia,Pondicherry India
Freiburg Germany,7.85,47.99,Europe,Freiburg Germany
Changde China,111.68,29.03,Asia,Changde China
Ishikawa Japan,140.45,37.14,Asia,Ishikawa Japan
Magnitogorsk Russia,58.97,53.42,Europe,Magnitogorsk Russia
Champs-sur-Marne France,2.59,48.86,Europe,Champs-sur-Marne France
Jena Germany,11.58,50.93,Europe,Jena Germany
Wenzhou China,120.65,28.02,Asia,Wenzhou China
Goslar Germany,10.43,51.92,Europe,Goslar Germany
Trelew Argentina,-65.33,-43.25,Americas,Trelew Argentina
Evanston USA,-87.69,42.05,Americas,Evanston USA
Toronto Canada,-79.38,43.65,Americas,Toronto Canada
Princeton Canada,-120.5,49.45,Americas,Princeton Canada
Pasadena Canada,-57.61,49.03,Americas,Pasadena Canada
Hamilton USA,-84.56,39.39,Americas,Hamilton USA
Hamilton Canada,-79.85,43.26,Americas,Hamilton Canada
Hamilton UK,-4.03,55.77,Europe,Hamilton UK
Clinton USA,-82.92,42.59,Americas,Clinton USA
Clinton Canada,-81.53,43.6,Americas,Clinton Canada
Ferrara Italy,11.61,44.84,Europe,Ferrara Italy
Honolulu USA,-157.8,21.32,Americas,Honolulu USA
Alexandria USA,-77.09,38.82,Americas,Alexandria USA
Alexandria Canada,-74.63,45.3,Americas,Alexandria Canada
Alexandria UK,-4.6,55.98,Europe,Alexandria UK
Alexandria Italy,8.61,44.92,Europe,Alexandria Italy
Tampa USA,-82.48,27.96,Americas,Tampa USA
Durham UK,-1.6,54.78,Europe,Durham UK
Khimki Russia,37.44,55.89,Europe,Khimki Russia
Voronezh Russia,39.26,51.72,Europe,Voronezh Russia
Yakutsk Russia,129.73,62.03,Europe,Yakutsk Russia
Bremen Germany,8.81,53.08,Europe,Bremen Germany
Postojna Slovenia,14.21,45.78,Europe,Postojna Slovenia
Mahallat Iran,50.5,33.88,Asia,Mahallat Iran
Rueil-Malmaison France,2.17,48.89,Europe,Rueil-Malmaison France
Hengyang China,112.62,26.89,Asia,Hengyang China
Dinajpur Bangladesh,88.64,25.63,Asia,Dinajpur Bangladesh
Dhaka Bangladesh,90.39,23.7,Asia,Dhaka Bangladesh
Waterloo Canada,-72.52,45.35,Americas,Waterloo Canada
Kongsberg Norway,9.63,59.67,Europe,Kongsberg Norway
Caparica Portugal,-9.19,38.67,Europe,Caparica Portugal
Lisbon Portugal,-9.14,38.72,Europe,Lisbon Portugal
Dorking UK,-0.33,51.22,Europe,Dorking UK
Meudon France,2.24,48.82,Europe,Meudon France
Liaocheng China,115.97,36.43,Asia,Liaocheng China
Campos Brazil,-41.34,-21.75,Americas,Campos Brazil
Albacete Spain,-1.87,39,Europe,Albacete Spain
Downey USA,-118.13,33.94,Americas,Downey USA
Aurangabad India,84.37,24.75,Asia,Aurangabad India
Ghaziabad India,77.41,28.66,Asia,Ghaziabad India
Kettering USA,-84.15,39.7,Americas,Kettering USA
Flint USA,-83.69,43.02,Americas,Flint USA
Lecco Italy,9.41,45.86,Europe,Lecco Italy
Birmingham UK,-1.91,52.48,Europe,Birmingham UK
Aligarh India,78.06,27.89,Asia,Aligarh India
Chatillon France,2.29,48.81,Europe,Chatillon France
Khorramabad Iran,48.35,33.48,Asia,Khorramabad Iran
Brisbane Australia,153.02,-27.46,Oceania,Brisbane Australia
Orleans France,1.9,47.9,Europe,Orleans France
Tours France,0.69,47.38,Europe,Tours France
Tallinn Estonia,24.74,59.44,Europe,Tallinn Estonia
Limoges France,1.25,45.83,Europe,Limoges France
Santander Spain,-3.8,43.47,Europe,Santander Spain
Regina Canada,-104.61,50.45,Americas,Regina Canada
Brandenburg Germany,12.53,52.42,Europe,Brandenburg Germany
Eastbourne UK,0.27,50.78,Europe,Eastbourne UK
Irbid Jordan,35.85,32.55,Asia,Irbid Jordan
Gulbarga India,76.82,17.34,Asia,Gulbarga India
Olsztyn Poland,20.49,53.78,Europe,Olsztyn Poland
Darmstadt Germany,8.64,49.87,Europe,Darmstadt Germany
Swindon UK,-1.78,51.57,Europe,Swindon UK
Jincheng China,112.83,35.5,Asia,Jincheng China
Stafford UK,-2.12,52.81,Europe,Stafford UK
Kasuga Japan,130.47,33.54,Asia,Kasuga Japan
Frascati Italy,12.68,41.82,Europe,Frascati Italy
Volgograd Russia,44.48,48.71,Europe,Volgograd Russia
Albany USA,-123.09,44.62,Americas,Albany USA
Santiago Chile,-70.64,-33.46,Americas,Santiago Chile
Kashan Iran,51.58,33.98,Asia,Kashan Iran
Hunedoara Romania,22.92,45.77,Europe,Hunedoara Romania
Barnaul Russia,83.75,53.36,Europe,Barnaul Russia
Covina USA,-117.88,34.09,Americas,Covina USA
Haridwar India,78.16,29.98,Asia,Haridwar India
Senftenberg Germany,13.99,51.53,Europe,Senftenberg Germany
Siegen Germany,8.01,50.87,Europe,Siegen Germany
Mainz Germany,8.26,50,Europe,Mainz Germany
Denton USA,-97.13,33.21,Americas,Denton USA
Dresden Germany,13.74,51.05,Europe,Dresden Germany
Araraquara Brazil,-48.13,-21.75,Americas,Araraquara Brazil
Katowice Poland,19.02,50.26,Europe,Katowice Poland
Desio Italy,9.2,45.63,Europe,Desio Italy
Vercelli Italy,8.41,45.34,Europe,Vercelli Italy
Rijswijk Netherlands,4.36,52.05,Europe,Rijswijk Netherlands
Isparta Turkey,30.55,37.77,Asia,Isparta Turkey
Songkhla Thailand,100.56,7.21,Asia,Songkhla Thailand
Nevsehir Turkey,34.72,38.63,Asia,Nevsehir Turkey
Yantai China,121.4,37.53,Asia,Yantai China
Milan Italy,9.19,45.48,Europe,Milan Italy
Zielonka Poland,21.17,52.3,Europe,Zielonka Poland
Poitiers France,0.34,46.58,Europe,Poitiers France
Limerick Ireland,-8.63,52.67,Europe,Limerick Ireland
Cork Ireland,-8.47,51.9,Europe,Cork Ireland
Khabarovsk Russia,135.12,48.42,Europe,Khabarovsk Russia
Langfang China,116.68,39.52,Asia,Langfang China
Sanandaj Iran,47.02,35.3,Asia,Sanandaj Iran
Anqing China,117.05,30.5,Asia,Anqing China
Woodland USA,-121.77,38.68,Americas,Woodland USA
Burbank USA,-118.33,34.19,Americas,Burbank USA
Huddersfield UK,-1.8,53.66,Europe,Huddersfield UK
Musashino Japan,139.58,35.71,Asia,Musashino Japan
Akishima Japan,139.36,35.7,Asia,Akishima Japan
Samara Russia,50.15,53.2,Europe,Samara Russia
Pamplona Spain,-1.65,42.82,Europe,Pamplona Spain
Damghan Iran,54.35,36.17,Asia,Damghan Iran
Attock Pakistan,72.36,33.78,Asia,Attock Pakistan
Akron USA,-81.52,41.08,Americas,Akron USA
Sassenage France,5.67,45.2,Europe,Sassenage France
Noida India,77.33,28.58,Asia,Noida India
Calgary Canada,-114.06,51.05,Americas,Calgary Canada
Silchar India,92.77,24.83,Asia,Silchar India
Siping China,124.33,43.17,Asia,Siping China
Union USA,-74.27,40.7,Americas,Union USA
Yucheng China,116.46,34.93,Asia,Yucheng China
Jiaozuo China,113.22,35.25,Asia,Jiaozuo China
Yamaguchi Japan,131.48,34.18,Asia,Yamaguchi Japan
Visakhapatnam India,83.3,17.73,Asia,Visakhapatnam India
Krasnoyarsk Russia,93.06,56.02,Europe,Krasnoyarsk Russia
Blankenfelde-Mahlow Germany,13.39,52.34,Europe,Blankenfelde-Mahlow Germany
Pomona USA,-117.76,34.06,Americas,Pomona USA
Rasht Iran,49.63,37.3,Asia,Rasht Iran
Wuhu China,118.37,31.35,Asia,Wuhu China
Udine Italy,13.24,46.07,Europe,Udine Italy
Miri Malaysia,113.97,4.4,Asia,Miri Malaysia
Tainan Taiwan,120.19,23,Asia,Tainan Taiwan
Fushun China,123.88,41.87,Asia,Fushun China
Rehovot Israel,34.8,31.89,Asia,Rehovot Israel
Xuanwu China,115.47,33.86,Asia,Xuanwu China
Van Turkey,43.4,38.49,Asia,Van Turkey
Manhattan USA,-96.59,39.19,Americas,Manhattan USA
Dalhousie Canada,-66.37,48.07,Americas,Dalhousie Canada
Halifax Canada,-63.61,44.67,Americas,Halifax Canada
Houston Canada,-126.65,54.4,Americas,Houston Canada
Khulna Bangladesh,89.56,22.84,Asia,Khulna Bangladesh
Londrina Brazil,-51.18,-23.3,Americas,Londrina Brazil
Toledo Brazil,-53.74,-24.73,Americas,Toledo Brazil
Shillong India,91.87,25.57,Asia,Shillong India
Hampton USA,-76.29,37.05,Americas,Hampton USA
Chatenay-Malabry France,2.27,48.78,Europe,Chatenay-Malabry France
Guilin China,110.28,25.28,Asia,Guilin China
Ilan Taiwan,121.74,24.77,Asia,Ilan Taiwan
Mashhad Iran,59.57,36.27,Asia,Mashhad Iran
Elektrogorsk Russia,38.79,55.88,Europe,Elektrogorsk Russia
Zonguldak Turkey,31.8,41.46,Asia,Zonguldak Turkey
Numazu Japan,138.86,35.1,Asia,Numazu Japan
Kobe Japan,135.17,34.68,Asia,Kobe Japan
Azuma Japan,139.24,36.34,Asia,Azuma Japan
Kiev Ukraine,30.52,50.43,Europe,Kiev Ukraine
Providence USA,-71.42,41.82,Americas,Providence USA
Fujisawa Japan,139.47,35.33,Asia,Fujisawa Japan
Valenciennes France,3.52,50.37,Europe,Valenciennes France
Herentals Belgium,4.83,51.18,Europe,Herentals Belgium
Erie USA,-80.09,42.13,Americas,Erie USA
Rouen France,1.08,49.44,Europe,Rouen France
Corvallis USA,-123.28,44.57,Americas,Corvallis USA
Rogers USA,-94.13,36.33,Americas,Rogers USA
Tata Hungary,18.31,47.64,Europe,Tata Hungary
Washington UK,-1.53,54.91,Europe,Washington UK
Colina Chile,-70.77,-33.7,Americas,Colina Chile
Springfield USA,-89.64,39.78,Americas,Springfield USA
Lowell USA,-71.32,42.64,Americas,Lowell USA
Flagstaff USA,-111.62,35.19,Americas,Flagstaff USA
Szeged Hungary,20.16,46.26,Europe,Szeged Hungary
Merate Italy,9.41,45.72,Europe,Merate Italy
Glasgow UK,-4.27,55.87,Europe,Glasgow UK
Wako Japan,139.61,35.78,Asia,Wako Japan
Nagoya Japan,136.91,35.15,Asia,Nagoya Japan
Toulouse France,1.45,43.62,Europe,Toulouse France
Troitsk Russia,37.31,55.48,Europe,Troitsk Russia
Geel Belgium,5,51.17,Europe,Geel Belgium
Timmins Canada,-81.35,48.49,Americas,Timmins Canada
Ronda Spain,-5.16,36.74,Europe,Ronda Spain
Sterling USA,-77.43,39.01,Americas,Sterling USA
Nagareyama Japan,139.91,35.86,Asia,Nagareyama Japan
Sanya China,109.48,18.23,Asia,Sanya China
Varese Italy,8.83,45.83,Europe,Varese Italy
Yulin China,110.14,22.64,Asia,Yulin China
Changqing China,116.73,36.55,Asia,Changqing China
Fengcheng China,124.06,40.46,Asia,Fengcheng China
Karamay China,84.86,45.6,Asia,Karamay China
Temple USA,-97.36,31.1,Americas,Temple USA
Doha Qatar,51.51,25.3,Asia,Doha Qatar
Metz France,6.18,49.12,Europe,Metz France
Cachan France,2.32,48.78,Europe,Cachan France
Rickmansworth UK,-0.47,51.63,Europe,Rickmansworth UK
Sandy UK,-0.28,52.12,Europe,Sandy UK
Faridabad India,77.3,28.38,Asia,Faridabad India
Norman USA,-97.34,35.23,Americas,Norman USA
Taizhou China,119.9,32.49,Asia,Taizhou China
Canterbury UK,1.07,51.29,Europe,Canterbury UK
Bhubaneswar India,85.84,20.27,Asia,Bhubaneswar India
Hasselt Belgium,5.33,50.93,Europe,Hasselt Belgium
Diepenbeek Belgium,5.4,50.9,Europe,Diepenbeek Belgium
Messina Italy,15.55,38.19,Europe,Messina Italy
Xihua China,114.52,33.79,Asia,Xihua China
Wellington Australia,148.95,-32.56,Oceania,Wellington Australia
Bhagalpur India,86.98,25.26,Asia,Bhagalpur India
Bihar India,85.52,25.21,Asia,Bihar India
Anshan China,122.95,41.12,Asia,Anshan China
Arequipa Peru,-71.53,-16.39,Americas,Arequipa Peru
Lugano Switzerland,8.94,46.01,Europe,Lugano Switzerland
Kovilpatti India,77.86,9.19,Asia,Kovilpatti India
Saint-Denis France,2.36,48.94,Europe,Saint-Denis France
Saint-Denis Canada,-73.15,45.78,Americas,Saint-Denis Canada
Paris Canada,-80.38,43.2,Americas,Paris Canada
Norfolk USA,-76.24,36.92,Americas,Norfolk USA
Vancouver USA,-122.64,45.63,Americas,Vancouver USA
Vancouver Canada,-123.13,49.28,Americas,Vancouver Canada
Trail Canada,-117.73,49.1,Americas,Trail Canada
Ado Nigeria,5.27,7.67,Africa,Ado Nigeria
Armidale Australia,151.66,-30.51,Oceania,Armidale Australia
Chatham UK,0.51,51.38,Europe,Chatham UK
Guwahati India,91.75,26.19,Asia,Guwahati India
Tezpur India,92.79,26.63,Asia,Tezpur India
Stockton-on-Tees UK,-1.32,54.57,Europe,Stockton-on-Tees UK
Oulu Finland,25.47,65.02,Europe,Oulu Finland
Gandhinagar India,72.63,23.3,Asia,Gandhinagar India
Almada Portugal,-9.16,38.68,Europe,Almada Portugal
Bilbao Spain,-2.93,43.25,Europe,Bilbao Spain
Leioa Spain,-3,43.33,Europe,Leioa Spain
Zografos Greece,23.77,37.98,Europe,Zografos Greece
Sagamihara Japan,139.38,35.58,Asia,Sagamihara Japan
Taylor USA,-83.27,42.23,Americas,Taylor USA
Victoria Canada,-123.37,48.43,Americas,Victoria Canada
Wyoming USA,-85.7,42.89,Americas,Wyoming USA
Xining China,101.77,36.62,Asia,Xining China
Nanchang China,115.88,28.68,Asia,Nanchang China
Bogor Indonesia,106.79,-6.58,Asia,Bogor Indonesia
Salerno Italy,14.77,40.68,Europe,Salerno Italy
Fisciano Italy,14.79,40.77,Europe,Fisciano Italy
Dublin Ireland,-6.25,53.33,Europe,Dublin Ireland
Clamart France,2.26,48.8,Europe,Clamart France
Castres France,2.23,43.61,Europe,Castres France
Carcassonne France,2.34,43.22,Europe,Carcassonne France
Vincennes France,2.44,48.85,Europe,Vincennes France
Rostov Russia,39.4,57.19,Europe,Rostov Russia
Chiayi Taiwan,120.43,23.48,Asia,Chiayi Taiwan
Shahinshahr Iran,51.54,32.81,Asia,Shahinshahr Iran
Northampton UK,-0.9,52.24,Europe,Northampton UK
Cracow Poland,19.96,50.06,Europe,Cracow Poland
Thun Switzerland,7.62,46.77,Europe,Thun Switzerland
Altdorf Switzerland,8.64,46.89,Europe,Altdorf Switzerland
Wells UK,-2.65,51.21,Europe,Wells UK
Warrington UK,-2.6,53.39,Europe,Warrington UK
Dubna Russia,37.15,56.75,Europe,Dubna Russia
Bartlett USA,-89.84,35.22,Americas,Bartlett USA
Pelotas Brazil,-52.34,-31.76,Americas,Pelotas Brazil
Sendai Japan,140.89,38.26,Asia,Sendai Japan
Surat India,72.82,21.2,Asia,Surat India
Andover USA,-71.14,42.65,Americas,Andover USA
Nimbahera India,74.68,24.62,Asia,Nimbahera India
Caen France,-0.36,49.19,Europe,Caen France
Huaibei China,116.75,33.95,Asia,Huaibei China
Jining China,113.09,41.04,Asia,Jining China
Nancy France,6.17,48.69,Europe,Nancy France
Mons Belgium,3.93,50.45,Europe,Mons Belgium
Puebla Mexico,-98.22,19.05,Americas,Puebla Mexico
Omaha USA,-96.01,41.26,Americas,Omaha USA
Elmadag Turkey,33.25,39.93,Asia,Elmadag Turkey
Gliwice Poland,18.67,50.31,Europe,Gliwice Poland
Lagos Nigeria,3.47,6.45,Africa,Lagos Nigeria
Rochester USA,-77.62,43.17,Americas,Rochester USA
Ussuriysk Russia,132.01,43.8,Europe,Ussuriysk Russia
Irkutsk Russia,104.24,52.33,Europe,Irkutsk Russia
Marks Russia,46.72,51.71,Europe,Marks Russia
Erskine UK,-4.52,55.87,Europe,Erskine UK
Qingyang China,118.57,24.82,Asia,Qingyang China
Fuxin China,121.74,42.06,Asia,Fuxin China
Rostock Germany,12.1,54.09,Europe,Rostock Germany
Sivakasi India,77.79,9.46,Asia,Sivakasi India
Jhansi India,78.56,25.45,Asia,Jhansi India
Bangkok Thailand,100.5,13.73,Asia,Bangkok Thailand
Warren USA,-83.03,42.49,Americas,Warren USA
Raleigh USA,-78.66,35.82,Americas,Raleigh USA
Novokuznetsk Russia,87.1,53.75,Europe,Novokuznetsk Russia
Timisoara Romania,21.23,45.76,Europe,Timisoara Romania
Ranchi India,85.33,23.36,Asia,Ranchi India
Taketoyo Japan,136.92,34.85,Asia,Taketoyo Japan
Ube Japan,131.24,33.94,Asia,Ube Japan
Shaoxing China,120.57,30,Asia,Shaoxing China
Chungli Taiwan,121.22,24.96,Asia,Chungli Taiwan
Vic Spain,2.24,41.94,Europe,Vic Spain
Kawaguchi Japan,139.73,35.81,Asia,Kawaguchi Japan
Tampere Finland,23.76,61.52,Europe,Tampere Finland
Carleton Canada,-66.1,48.1,Americas,Carleton Canada
L'Aquila Italy,13.39,42.35,Europe,L'Aquila Italy
Tangier Morocco,-5.81,35.79,Africa,Tangier Morocco
Huzhou China,120.1,30.87,Asia,Huzhou China
Jingmen China,112.19,31.03,Asia,Jingmen China
Trabzon Turkey,39.71,41,Asia,Trabzon Turkey
Merced USA,-120.48,37.3,Americas,Merced USA
Derby UK,-1.5,52.92,Europe,Derby UK
DeKalb USA,-88.75,41.93,Americas,DeKalb USA
Indianapolis USA,-86.15,39.78,Americas,Indianapolis USA
Amherstburg Canada,-83.1,42.1,Americas,Amherstburg Canada
Pavlohrad Ukraine,35.87,48.52,Europe,Pavlohrad Ukraine
Savannah USA,-81.13,32.02,Americas,Savannah USA
Dortmund Germany,7.48,51.51,Europe,Dortmund Germany
Chutung Taiwan,121.07,24.73,Asia,Chutung Taiwan
Temixco Mexico,-99.23,18.85,Americas,Temixco Mexico
Morelos Mexico,-101.47,19.98,Americas,Morelos Mexico
Flitwick UK,-0.48,52,Europe,Flitwick UK
Lyubertsy Russia,37.89,55.67,Europe,Lyubertsy Russia
Tomilino Russia,37.94,55.66,Europe,Tomilino Russia
Ettlingen Germany,8.4,48.95,Europe,Ettlingen Germany
Offenbach Germany,8.77,50.1,Europe,Offenbach Germany
Kiel Germany,10.12,54.32,Europe,Kiel Germany
Burlington USA,-79.45,36.08,Americas,Burlington USA
Gannan China,123.51,47.92,Asia,Gannan China
Ganzhou China,114.93,25.95,Asia,Ganzhou China
Visp Switzerland,7.88,46.29,Europe,Visp Switzerland
Genoa Italy,8.93,44.42,Europe,Genoa Italy
Sassari Italy,8.56,40.73,Europe,Sassari Italy
Klagenfurt Austria,14.31,46.62,Europe,Klagenfurt Austria
Tavistock UK,-4.16,50.55,Europe,Tavistock UK
Wilmington USA,-75.53,39.74,Americas,Wilmington USA
Dublin USA,-121.91,37.72,Americas,Dublin USA
Yerevan Armenia,44.52,40.17,Asia,Yerevan Armenia
Annecy France,6.12,45.91,Europe,Annecy France
Windhoek Namibia,17.09,-22.56,Africa,Windhoek Namibia
Adelaide Australia,138.6,-34.93,Oceania,Adelaide Australia
Montpellier France,3.87,43.61,Europe,Montpellier France
Bordeaux France,-0.58,44.84,Europe,Bordeaux France
Gradignan France,-0.62,44.76,Europe,Gradignan France
Innsbruck Austria,11.41,47.28,Europe,Innsbruck Austria
Bochum Germany,7.2,51.48,Europe,Bochum Germany
Liege Belgium,5.57,50.64,Europe,Liege Belgium
Jian China,115,27.13,Asia,Jian China
Ilmenau Germany,10.91,50.69,Europe,Ilmenau Germany
Huwei Taiwan,120.39,23.72,Asia,Huwei Taiwan
Udaipur India,73.69,24.58,Asia,Udaipur India
Jaipur India,75.8,26.92,Asia,Jaipur India
Logan USA,-111.84,41.74,Americas,Logan USA
Linz Austria,14.29,48.31,Europe,Linz Austria
Toyohashi Japan,137.39,34.76,Asia,Toyohashi Japan
Perugia Italy,12.39,43.11,Europe,Perugia Italy
Aachen Germany,6.09,50.77,Europe,Aachen Germany
Apatity Russia,33.39,67.57,Europe,Apatity Russia
Kovdor Russia,30.47,67.56,Europe,Kovdor Russia
Bryan USA,-96.37,30.67,Americas,Bryan USA
Torrance USA,-118.34,33.83,Americas,Torrance USA
Lermontov Russia,42.97,44.11,Europe,Lermontov Russia
Nagano Japan,138.18,36.65,Asia,Nagano Japan
Floirac France,-0.54,44.84,Europe,Floirac France
Brasov Romania,25.61,45.66,Europe,Brasov Romania
Niigata Japan,139.04,37.92,Asia,Niigata Japan
Fukui Japan,136.22,36.08,Asia,Fukui Japan
Omiya Japan,140.42,36.55,Asia,Omiya Japan
Zelenograd Russia,37.29,55.94,Europe,Zelenograd Russia
Aylesbury UK,-0.83,51.83,Europe,Aylesbury UK
Radom Poland,21.16,51.4,Europe,Radom Poland
Contai India,87.75,21.79,Asia,Contai India
Craiova Romania,23.82,44.33,Europe,Craiova Romania
Ajmer India,74.64,26.45,Asia,Ajmer India
Jiaxing China,120.75,30.77,Asia,Jiaxing China
Fredericton Canada,-66.66,45.96,Americas,Fredericton Canada
Almaty Kazakhstan,76.92,43.32,Asia,Almaty Kazakhstan
Arnhem Netherlands,5.91,51.99,Europe,Arnhem Netherlands
Tbilisi Georgia,44.79,41.72,Asia,Tbilisi Georgia
Kazbegi Georgia,44.64,42.66,Asia,Kazbegi Georgia
Orlando USA,-81.37,28.5,Americas,Orlando USA
Mulhouse France,7.34,47.76,Europe,Mulhouse France
Sabzevar Iran,57.63,36.22,Asia,Sabzevar Iran
Salalah Oman,54.09,17.02,Asia,Salalah Oman
Minsk Belarus,27.55,53.91,Europe,Minsk Belarus
Kavala Greece,24.4,40.94,Europe,Kavala Greece
Kashmar Iran,58.45,35.18,Asia,Kashmar Iran
Tyumen Russia,65.53,57.15,Europe,Tyumen Russia
Yokosuka Japan,139.67,35.27,Asia,Yokosuka Japan
Bogota Colombia,-74.09,4.63,Americas,Bogota Colombia
Domont France,2.33,49.03,Europe,Domont France
Daito Japan,135.62,34.71,Asia,Daito Japan
Siena Italy,11.32,43.33,Europe,Siena Italy
Schaffhausen Switzerland,8.62,47.71,Europe,Schaffhausen Switzerland
Indore India,75.86,22.72,Asia,Indore India
Chantilly USA,-77.41,38.88,Americas,Chantilly USA
Girona Spain,2.81,41.98,Europe,Girona Spain
Florence Italy,11.24,43.78,Europe,Florence Italy
Iizuka Japan,130.69,33.64,Asia,Iizuka Japan
Arica Chile,-70.3,-18.49,Americas,Arica Chile
Hobart Australia,147.29,-42.85,Oceania,Hobart Australia
Zaragoza Spain,-0.89,41.65,Europe,Zaragoza Spain
Baghdad Iraq,44.44,33.33,Asia,Baghdad Iraq
Baoji China,107.15,34.38,Asia,Baoji China
Lublin Poland,22.57,51.24,Europe,Lublin Poland
Danbury USA,-73.47,41.4,Americas,Danbury USA
Jonesboro USA,-90.69,35.82,Americas,Jonesboro USA
Schmallenberg Germany,8.3,51.16,Europe,Schmallenberg Germany
Marburg Germany,8.77,50.8,Europe,Marburg Germany
Camarillo USA,-119.03,34.22,Americas,Camarillo USA
Zhytomyr Ukraine,28.67,50.25,Europe,Zhytomyr Ukraine
Middletown USA,-72.65,41.55,Americas,Middletown USA
Taicheng China,112.77,22.26,Asia,Taicheng China
Kitwe Zambia,28.22,-12.81,Africa,Kitwe Zambia
Wokingham UK,-0.85,51.42,Europe,Wokingham UK
Quchan Iran,58.5,37.12,Asia,Quchan Iran
Petrosani Romania,23.38,45.41,Europe,Petrosani Romania
Stirling UK,-3.94,56.12,Europe,Stirling UK
Koblenz Germany,7.6,50.35,Europe,Koblenz Germany
Bergamo Italy,9.67,45.7,Europe,Bergamo Italy
Strasbourg France,7.76,48.58,Europe,Strasbourg France
Lynn USA,-70.96,42.47,Americas,Lynn USA
Franklin USA,-86.84,35.93,Americas,Franklin USA
Kakinada India,82.24,16.96,Asia,Kakinada India
Gdansk Poland,18.64,54.36,Europe,Gdansk Poland
Kilis Turkey,37.11,36.73,Asia,Kilis Turkey
Adana Turkey,35.32,37,Asia,Adana Turkey
Monroe USA,-92.08,32.51,Americas,Monroe USA
Khandwa India,76.35,21.83,Asia,Khandwa India
Detroit USA,-83.1,42.38,Americas,Detroit USA
Brighton UK,-0.15,50.83,Europe,Brighton UK
Wuppertal Germany,7.18,51.26,Europe,Wuppertal Germany
Madurai India,78.12,9.92,Asia,Madurai India
Shangqiu China,115.64,34.44,Asia,Shangqiu China
Nokia Finland,23.48,61.49,Europe,Nokia Finland
Reims France,4.03,49.25,Europe,Reims France
Amarillo USA,-101.82,35.2,Americas,Amarillo USA
Salamanca Spain,-5.67,40.97,Europe,Salamanca Spain
Reka Croatia,16.77,46.13,Europe,Reka Croatia
Worcester USA,-71.81,42.27,Americas,Worcester USA
Ashikaga Japan,139.45,36.35,Asia,Ashikaga Japan
Tochigi Japan,139.73,36.38,Asia,Tochigi Japan
Dearborn USA,-83.21,42.31,Americas,Dearborn USA
Saint-Jean France,1.5,43.67,Europe,Saint-Jean France
Morangis France,2.33,48.7,Europe,Morangis France
Noordwijk Netherlands,4.43,52.25,Europe,Noordwijk Netherlands
Asheville USA,-82.55,35.57,Americas,Asheville USA
Wichita USA,-97.34,37.69,Americas,Wichita USA
Olten Switzerland,7.9,47.37,Europe,Olten Switzerland
Lancaster USA,-118.18,34.69,Americas,Lancaster USA
Norwich UK,1.28,52.65,Europe,Norwich UK
Dundee UK,-3,56.47,Europe,Dundee UK
Perth UK,-3.47,56.4,Europe,Perth UK
Vadodara India,73.18,22.31,Asia,Vadodara India
Stevenage UK,-0.21,51.92,Europe,Stevenage UK
Maoming China,110.87,21.92,Asia,Maoming China
Cardiff UK,-3.18,51.48,Europe,Cardiff UK
Burjassot Spain,-0.39,39.5,Europe,Burjassot Spain
Westminster USA,-105.05,39.88,Americas,Westminster USA
Salt Spain,2.78,41.99,Europe,Salt Spain
Baku Azerbaijan,49.86,40.39,Asia,Baku Azerbaijan
Guelph Canada,-80.26,43.56,Americas,Guelph Canada
Chandler USA,-111.87,33.3,Americas,Chandler USA
Rochester UK,0.49,51.38,Europe,Rochester UK
