Label,Lngx,Laty,Continent,ID
Ankara Turkey,32.85,39.93,Asia,Ankara Turkey
Peabody USA,-70.97,42.53,Americas,Peabody USA
Centennial USA,-104.85,39.6,Americas,Centennial USA
Medford USA,-71.11,42.42,Americas,Medford USA
Knoxville USA,-83.95,35.97,Americas,Knoxville USA
Novosibirsk Russia,82.93,55.04,Europe,Novosibirsk Russia
Jackson USA,-90.21,32.32,Americas,Jackson USA
Austin USA,-97.75,30.31,Americas,Austin USA
Basel Switzerland,7.58,47.57,Europe,Basel Switzerland
Birmingham USA,-86.8,33.53,Americas,Birmingham USA
Cambridge UK,0.13,52.21,Europe,Cambridge UK
Changchun China,125.35,43.87,Asia,Changchun China
Sapporo Japan,141.34,43.06,Asia,Sapporo Japan
Zhengzhou China,113.67,34.75,Asia,Zhengzhou China
Nanning China,108.32,22.82,Asia,Nanning China
Yinchuan China,106.32,38.47,Asia,Yinchuan China
Atlanta USA,-84.42,33.76,Americas,Atlanta USA
Haifa Israel,34.99,32.82,Asia,Haifa Israel
Lund Sweden,13.2,55.71,Europe,Lund Sweden
Exeter UK,-3.54,50.73,Europe,Exeter UK
Castelldefels Spain,1.96,41.29,Europe,Castelldefels Spain
Penza Russia,45,53.2,Europe,Penza Russia
Loughborough UK,-1.22,52.77,Europe,Loughborough UK
Neijiang China,105.05,29.58,Asia,Neijiang China
Sunnyvale USA,-122.03,37.39,Americas,Sunnyvale USA
Chicago USA,-87.68,41.84,Americas,Chicago USA
Newark USA,-74.17,40.72,Americas,Newark USA
Liverpool UK,-2.99,53.42,Europe,Liverpool UK
Weihai China,122.1,37.5,Asia,Weihai China
Cairo Egypt,31.25,30.06,Africa,Cairo Egypt
Leuven Belgium,4.7,50.88,Europe,Leuven Belgium
Horizonte Brazil,-38.49,-4.1,Americas,Horizonte Brazil
Caxias Brazil,-43.38,-4.88,Americas,Caxias Brazil
Recife Brazil,-34.92,-8.08,Americas,Recife Brazil
