"RunID","Surface_type","Study","Target","Mean_Pressure","RSD_Pressure","Stable_Time_Pct","Flag_15Pct_Outlier","Success","analysis_accepted","PETN_Recovery_pct","RDX_Recovery_pct","QC_Status","Pressure_Outlier"
"MAIN_001","abs","Main",10,11.4286432160804,7.68811458356588,57.3544973544972,FALSE,TRUE,"PASS",16.0458369942987,13.9332625109598,"PASS",FALSE
"MAIN_002","abs","Main",300,300.020341151386,1.11760721666279,7.7504071515175,FALSE,TRUE,"PASS",16.8939725084477,18.4744335716512,"PASS",FALSE
"MAIN_003","abs","Main",300,298.112359346642,1.30584618981403,11.6183887585291,FALSE,TRUE,"PASS",6.82545788235461,3.49554501601775,"PASS",FALSE
"MAIN_004","abs","Main",300,296.401044776119,0.996819727755045,12.7043748355892,FALSE,TRUE,"FAIL: PETN 6ng QC bracket FAILED or unavailable",14.4994792004977,11.7237784632707,"QC Flagged",FALSE
"MAIN_005","abs","Main",10,13.2880349344978,3.747782303127,22.2194956647728,TRUE,TRUE,"FAIL: PETN 6ng QC bracket FAILED or unavailable",16.2930042224146,8.8090652392924,"QC Flagged",TRUE
"MAIN_006","abs","Main",300,297.898405017921,0.960915167819528,13.332211136275,FALSE,TRUE,"PASS",17.9647545678181,15.7820816471605,"PASS",FALSE
"MAIN_007","steel","Main",10,11.8401101321586,8.83153871091966,43.8077712206764,TRUE,TRUE,"PASS",9.79705501126123,8.56851233255504,"PASS",TRUE
"MAIN_008","steel","Main",10,11.2747777777778,8.52675431066217,35.1652491127884,FALSE,TRUE,"PASS",5.99376404112345,6.09368673298979,"PASS",FALSE
"MAIN_009","steel","Main",100,102.398976034858,1.96682069834128,19.356672075094,FALSE,TRUE,"PASS",31.9179005538482,38.4740167938815,"PASS",FALSE
"MAIN_010","steel","Main",10,9.08830810329475,17.8023458474567,103.389520675784,FALSE,TRUE,"PASS",3.61037508896067,3.969136631796,"PASS",FALSE
"MAIN_011","steel","Main",100,107.918153846154,4.63686128825458,5.34567063152381,FALSE,TRUE,"PASS",41.1955279518815,43.0794204209455,"PASS",FALSE
"MAIN_012","steel","Main",300,291.677868561279,1.70494456293788,10.8292500759194,FALSE,TRUE,"PASS",6.39912415496605,6.396112581526,"PASS",FALSE
"MAIN_013","abs","Main",300,296.945555555556,0.93188119393819,9.662017841437,FALSE,TRUE,"FAIL: PETN 6ng QC bracket FAILED or unavailable",12.6310664407061,10.8606326505094,"QC Flagged",FALSE
