"Effect_Size","Cohen_f","f_squared","Power_at_current_setting"
"Small (f = 0.10)",0.1,0.01,0.182500838577792
"Medium (f = 0.25)",0.25,0.0625,0.746220980784861
"Large (f = 0.40)",0.4,0.16,0.987319036852486
