"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Li Y.; Dang J.; Ma Y.; Ma H.","Li, Yu (57192530985); Dang, Jia (57426209900); Ma, Yuqiang (57966039300); Ma, Haixia (7403096304)","57192530985; 57426209900; 57966039300; 7403096304","Hematite: A Good Catalyst for the Thermal Decomposition of Energetic Materials and the Application in Nano-Thermite","2023","Molecules","28","5","2035","","","","13","10.3390/molecules28052035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149833357&doi=10.3390%2fmolecules28052035&partnerID=40&md5=a018ac2aef3c06a74497f6928ba320b8","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85149833357"
"Hafner T.A.; Örnek M.; Messer D.K.; Son S.F.","Hafner, Thomas A. (7003844667); Örnek, Metin (57151160200); Messer, Derek K. (57700672900); Son, Steven F. (7202529994)","7003844667; 57151160200; 57700672900; 7202529994","Theoretical Conditions for Burning in Solid Propellant Slots","2023","Propellants, Explosives, Pyrotechnics","48","3","e202200281","","","","0","10.1002/prep.202200281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146639211&doi=10.1002%2fprep.202200281&partnerID=40&md5=f0382369ba4b1868d6f42b85726dc7af","Article","Final","","Scopus","2-s2.0-85146639211"
"Qi G.; Song S.; Deng Z.; Huang D.; Chen F.; Yan B.; Gou H.; Zhang Q.; Wang Y.","Qi, Guangyu (56430479100); Song, Siwei (57200449403); Deng, Zhiying (57484796000); Huang, Dajian (57205155580); Chen, Fang (57726445500); Yan, Bingmin (36609706800); Gou, Huiyang (7003314605); Zhang, Qinghua (55759006200); Wang, Yi (57221518448)","56430479100; 57200449403; 57484796000; 57205155580; 57726445500; 36609706800; 7003314605; 55759006200; 57221518448","Pressure-Induced Topochemical Polymerization toward Advanced Energetic Materials","2023","CCS Chemistry","5","8","","1815","1826","11","7","10.31635/ccschem.022.202202249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167566236&doi=10.31635%2fccschem.022.202202249&partnerID=40&md5=22b7b9a65d61379267790a486a9ffaf6","Article","Final","","Scopus","2-s2.0-85167566236"
"Bennett A.J.; Matzger A.J.","Bennett, Andrew J. (58166674300); Matzger, Adam J. (7004173498)","58166674300; 7004173498","Progress in Predicting Ionic Cocrystal Formation: The Case of Ammonium Nitrate","2023","Chemistry - A European Journal","29","27","e202300076","","","","4","10.1002/chem.202300076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151358059&doi=10.1002%2fchem.202300076&partnerID=40&md5=9727a481f04b9036ec516fb763067404","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85151358059"
"Liu Y.; Chen Y.-H.; Gou R.-J.; Zhang S.-H.","Liu, Yang (57192564167); Chen, Ya-Hong (21933492200); Gou, Rui-Jun (6602406349); Zhang, Shu-Hai (8963475600)","57192564167; 21933492200; 6602406349; 8963475600","Review on Energetic Compounds Based on Triazoles; [三 唑 类 含 能 化 合 物 研 究 进 展]","2023","Hanneng Cailiao/Chinese Journal of Energetic Materials","31","5","","485","507","22","3","10.11943/CJEM2022131","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163495423&doi=10.11943%2fCJEM2022131&partnerID=40&md5=e25f1b65a6f277c0f535d91bc8248e00","Review","Final","","Scopus","2-s2.0-85163495423"
"Klapötke T.M.; Lechner J.T.; Stanislawski L.W.B.; Stierstorfer J.; Mühlemann M.; Lemarchand G.","Klapötke, Thomas M. (7102225410); Lechner, Jasmin T. (57201662301); Stanislawski, Leon W. B. (58283511700); Stierstorfer, Jörg (22956620000); Mühlemann, Moritz (57222069047); Lemarchand, Guillaume (57828457700)","7102225410; 57201662301; 58283511700; 22956620000; 57222069047; 57828457700","Investigation of a new promising process for the RDX synthesis via 1,3,5-triacetyl-1,3,5-triazinane (TRAT)","2023","Propellants, Explosives, Pyrotechnics","48","7","e202300062","","","","1","10.1002/prep.202300062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159927485&doi=10.1002%2fprep.202300062&partnerID=40&md5=d060ded8cfb3f0e3e2bf12124a61d03a","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85159927485"
"Shaferov A.V.; Arakelov S.T.; Teslenko F.E.; Pivkina A.N.; Muravyev N.V.; Fershtat L.L.","Shaferov, Alexander V. (57217065920); Arakelov, Sergey T. (58475160300); Teslenko, Fedor E. (57214470265); Pivkina, Alla N. (6603037564); Muravyev, Nikita V. (36139563200); Fershtat, Leonid L. (36457430400)","57217065920; 58475160300; 57214470265; 6603037564; 36139563200; 36457430400","First Example of 1,2,5-Oxadiazole-Based Hypergolic Ionic Liquids: A New Class of Potential Energetic Fuels","2023","Chemistry - A European Journal","29","44","e202300948","","","","10","10.1002/chem.202300948","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164204382&doi=10.1002%2fchem.202300948&partnerID=40&md5=80829b5e1db148d080f74938ce99e692","Article","Final","","Scopus","2-s2.0-85164204382"
"Kong X.; Xu C.; Zhang X.; Li B.","Kong, Xiaofang (56518881200); Xu, Chundong (57208134579); Zhang, Xuehui (57209465332); Li, Baoming (55698675000)","56518881200; 57208134579; 57209465332; 55698675000","Testing and evaluation of the thermal damage caused by an explosion of energetic materials","2023","International Journal of Thermal Sciences","186","","108121","","","","2","10.1016/j.ijthermalsci.2022.108121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145259333&doi=10.1016%2fj.ijthermalsci.2022.108121&partnerID=40&md5=f62ebd25486e3845511ef561e882e6da","Article","Final","","Scopus","2-s2.0-85145259333"
"Kan W.; Ren J.; Feng H.; Lou W.; Li M.; Zeng Q.; Lv S.; Su W.","Kan, Wenxing (57534751600); Ren, Jie (55816278100); Feng, Hengzhen (56978567500); Lou, Wenzhong (15757538600); Li, Mingyu (57188823675); Zeng, Qingxuan (7401806814); Lv, Sining (57538435700); Su, Wenting (57536382300)","57534751600; 55816278100; 56978567500; 15757538600; 57188823675; 7401806814; 57538435700; 57536382300","Research on Energetic Micro-Self-Destruction Devices with Fast Responses","2023","Micromachines","14","5","961","","","","1","10.3390/mi14050961","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160597065&doi=10.3390%2fmi14050961&partnerID=40&md5=76890553eae183d3faa3b61138b39730","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85160597065"
"Uhlenhake K.E.; Gomez M.; Collard D.N.; Örnek M.; Son S.F.","Uhlenhake, Kyle E. (57225109532); Gomez, Mateo (57204778085); Collard, Diane N. (57212351022); Örnek, Metin (57151160200); Son, Steven F. (7202529994)","57225109532; 57204778085; 57212351022; 57151160200; 7202529994","Laser ignition of solid propellants using energetic nAl-PVDF optical sensitizers","2023","Combustion and Flame","254","","112848","","","","7","10.1016/j.combustflame.2023.112848","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160525175&doi=10.1016%2fj.combustflame.2023.112848&partnerID=40&md5=8470a064649a6fa95adce4141005adc2","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85160525175"
