"solution","analyte","ur_combined","Ur_combined","Ur_percent"
"Stock Solution A","PETN",0.0242477766711427,0.0484955533422854,4.84955533422854
"Stock Solution A","RDX",0.0243717257766784,0.0487434515533569,4.87434515533569
"Cal Solution 1","PETN",0.029126814799683,0.0582536295993661,5.82536295993661
"Cal Solution 1","RDX",0.0292300818372962,0.0584601636745924,5.84601636745924
"Cal Solution 2","PETN",0.0247191829724897,0.0494383659449794,4.94383659449794
"Cal Solution 2","RDX",0.0248407799931368,0.0496815599862736,4.96815599862736
"Cal Solution 3","PETN",0.0246178391989837,0.0492356783979675,4.92356783979675
"Cal Solution 3","RDX",0.0247399343302892,0.0494798686605783,4.94798686605783
"Cal Solution 4","PETN",0.0257543784010376,0.0515087568020751,5.15087568020751
"Cal Solution 4","RDX",0.0258711103484916,0.0517422206969833,5.17422206969833
"Cal Solution 5","PETN",0.0250407269628385,0.0500814539256769,5.00814539256769
"Cal Solution 5","RDX",0.0251607700730209,0.0503215401460418,5.03215401460418
"Cal Solution 6","PETN",0.0246178391989837,0.0492356783979675,4.92356783979675
"Cal Solution 6","RDX",0.0247399343302892,0.0494798686605783,4.94798686605783
