"solution","analyte","ur_combined","Ur_combined","Ur_percent"
"Stock Solution A","PETN",0.0239921099563559,0.0479842199127117,4.79842199127117
"Stock Solution A","RDX",0.0241173730741528,0.0482347461483056,4.82347461483056
"Cal Solution 1","PETN",0.0265249781375144,0.0530499562750288,5.30499562750288
"Cal Solution 1","RDX",0.0266383334507926,0.0532766669015852,5.32766669015852
"Working Solution 1","PETN",0.0402392905803229,0.0804785811606459,8.04785811606459
"Working Solution 1","RDX",0.0403141023743263,0.0806282047486527,8.06282047486527
"Working Solution 2","PETN",0.0412272814254162,0.0824545628508323,8.24545628508323
"Working Solution 2","RDX",0.0413003036014321,0.0826006072028642,8.26006072028642
"Working Solution 3","PETN",0.0422819345218275,0.0845638690436551,8.45638690436551
"Working Solution 3","RDX",0.0423531383813303,0.0847062767626605,8.47062767626606
"Working Solution 4","PETN",0.0422819345218275,0.0845638690436551,8.45638690436551
"Working Solution 4","RDX",0.0423531383813303,0.0847062767626605,8.47062767626606
"Working Solution 5","PETN",0.0412272814254162,0.0824545628508323,8.24545628508323
"Working Solution 5","RDX",0.0413003036014321,0.0826006072028642,8.26006072028642
"Working Solution 6","PETN",0.0878734105721916,0.175746821144383,17.5746821144383
"Working Solution 6","RDX",0.0879076938011057,0.175815387602211,17.5815387602211
