"solution","analyte","ur_combined","Ur_combined","Ur_percent"
"Stock Solution A","PETN",0.0239921099563559,0.0479842199127117,4.79842199127117
"Stock Solution A","RDX",0.0241173730741528,0.0482347461483056,4.82347461483056
"Cal Solution 1","PETN",0.0265249781375144,0.0530499562750288,5.30499562750288
"Cal Solution 1","RDX",0.0266383334507926,0.0532766669015852,5.32766669015852
"Cal Solution 2","PETN",0.0249464319122907,0.0498928638245815,4.98928638245815
"Cal Solution 2","RDX",0.0250669265965048,0.0501338531930095,5.01338531930095
"Cal Solution 3","PETN",0.0243361118537084,0.0486722237074168,4.86722237074168
"Cal Solution 3","RDX",0.0244596133247483,0.0489192266494967,4.89192266494967
"Cal Solution 4","PETN",0.0243633836966541,0.0487267673933082,4.87267673933082
"Cal Solution 4","RDX",0.02448674761969,0.0489734952393799,4.89734952393799
"Cal Solution 5","PETN",0.0246360272802928,0.0492720545605857,4.92720545605857
"Cal Solution 5","RDX",0.0247580327165818,0.0495160654331635,4.95160654331635
"Cal Solution 6","PETN",0.0242202671363634,0.0484405342727268,4.84405342727268
"Cal Solution 6","RDX",0.0243443563068898,0.0486887126137796,4.86887126137796
"Working Solution 1","PETN",0.0402392905803229,0.0804785811606459,8.04785811606459
"Working Solution 1","RDX",0.0403141023743263,0.0806282047486527,8.06282047486527
"Working Solution 2","PETN",0.0392167120800126,0.0784334241600252,7.84334241600252
"Working Solution 2","RDX",0.0392934708343079,0.0785869416686158,7.85869416686158
"Working Solution 3","PETN",0.0388313324696469,0.0776626649392938,7.76626649392938
"Working Solution 3","RDX",0.0389088515020458,0.0778177030040917,7.78177030040917
"Working Solution 4","PETN",0.0388484299085876,0.0776968598171751,7.76968598171751
"Working Solution 4","RDX",0.0389259148922982,0.0778518297845963,7.78518297845963
"Working Solution 5","PETN",0.0390199933542714,0.0780399867085427,7.80399867085427
"Working Solution 5","RDX",0.0390971383250409,0.0781942766500818,7.81942766500818
"Working Solution 6","PETN",0.0387588361714958,0.0775176723429917,7.75176723429917
"Working Solution 6","RDX",0.0388364999093489,0.0776729998186977,7.76729998186977
