"solution","analyte","ur_combined","Ur_combined","Ur_percent"
"Stock Solution A","PETN",0.0239412581156463,0.0478825162312926,4.78825162312926
"Stock Solution A","RDX",0.0240667859092152,0.0481335718184304,4.81335718184304
"Cal Solution 1","PETN",0.0270265395520773,0.0540530791041546,5.40530791041546
"Cal Solution 1","RDX",0.0271377999108255,0.054275599821651,5.4275599821651
"Cal Solution 2","PETN",0.0251084416115377,0.0502168832230755,5.02168832230755
"Cal Solution 2","RDX",0.0252281625173139,0.0504563250346277,5.04563250346277
"Cal Solution 3","PETN",0.0242537902225611,0.0485075804451222,4.85075804451222
"Cal Solution 3","RDX",0.0243777087520546,0.0487554175041092,4.87554175041092
"Cal Solution 4","PETN",0.0284285743603157,0.0568571487206314,5.68571487206314
"Cal Solution 4","RDX",0.0285343684703201,0.0570687369406403,5.70687369406403
"Cal Solution 5","PETN",0.0246613835816241,0.0493227671632483,4.93227671632483
"Cal Solution 5","RDX",0.0247832641917888,0.0495665283835776,4.95665283835776
"Cal Solution 6","PETN",0.0241491995759694,0.0482983991519388,4.82983991519388
"Cal Solution 6","RDX",0.0242736520532037,0.0485473041064074,4.85473041064074
"Cal Solution 7","PETN",0.0241401396052301,0.0482802792104602,4.82802792104602
"Cal Solution 7","RDX",0.02426463855078,0.0485292771015601,4.85292771015601
"Working Solution 1","PETN",0.0615071920281273,0.123014384056255,12.3014384056255
"Working Solution 1","RDX",0.0615561614708465,0.123112322941693,12.3112322941693
"Working Solution 2","PETN",0.0606888348148564,0.121377669629713,12.1377669629713
"Working Solution 2","RDX",0.0607384640489446,0.121476928097889,12.1476928097889
"Working Solution 3","PETN",0.0603402616101797,0.120680523220359,12.0680523220359
"Working Solution 3","RDX",0.0603901773057915,0.120780354611583,12.0780354611583
"Working Solution 4","PETN",0.0621360175034169,0.124272035006834,12.4272035006834
"Working Solution 4","RDX",0.0621844917565862,0.124368983513172,12.4368983513172
"Working Solution 5","PETN",0.0605052449890498,0.1210104899781,12.10104899781
"Working Solution 5","RDX",0.0605550246885007,0.121110049377001,12.1110049377001
"Working Solution 6","PETN",0.0602982974153079,0.120596594830616,12.0596594830616
"Working Solution 6","RDX",0.0603482478206694,0.120696495641339,12.0696495641339
